,Steming,Label
271,orng ribut bawa berita paham teknologi energi baru gimana nikuba jaman sby jg banyu birubanyu genidan kenal teknologi nikuba tpi orng denmark dlu an tpi jgemng dasar air dirubh mnjdi daya air ubah bahan bakar biaya besarmalah mahal dari bbm edar inijdi inti tipu,negatif
7,nikuba gantiin bensin media kocak ginian angkat polemik masyarakat gmpang percaya bodoh,positif
386,dengar ulas kayak ganti bbm kerja mobil spd mtr tenaga listrik alat sendiri ubah air tenaga alektrik ganti bbm logika olah air nama nikuba masuk tangki bbm mobil butuh bbm murni ganti bbmini logika,positif
512,pakai airbahan bakar bejabat bangkrut miskin nikuba bekukandimatikan,negatif
453,brin suka esemka drpda nikuba esemka nikuba,netral
540,indonesia nikuba dukung singkir bbm bbm indonesia ladang bisnis giur,negatif
285,youtuber otomotif indonesia coba teknologi nikuba youtuber ridwan hanip suka modif motor tu om mob,positif
101,anggota tni tolol percaya nikuba baca google joko suprapto tipu presiden sby mei vonis,negatif
97,nikuba pakai tni dibbrp motor dana menhamkam triliyun nikuba milyard beli rakyat tahan rakyat,positif
224,nikuba kembang tumbang mafia migas,negatif
54,takut bangkrut nikuba muncul,negatif
30,bohong banget metro harga ambil alih bayar hak cipta sang cipta nikuba barang efisien negara maju alat massal,positif
186,lahhhberita tarik sm berita kemarin males baca banding teliti nikuba valid,positif
49,nikuba bantai stadion jis,netral
100,pas temu nikuba negeri orang acuh tidak acuh temu orang langsung ajak meeting luar gilir orang ajak temu negara orang nyempil eropa seolaholah aku tahu banget pingin numpang nama temu hasil,positif
390,negara sepele co krisis monoter pandemi covid nikuba langkah langkah inget jadi ramal cuaca hujat,negatif
516,brin tidak guna coba bantu nikuba sempurna negeri ramah ilmu ramah buzzer jelek anak bangsa,negatif
401,komentar sadar rakyat indo minim literasi ngaku harga suruh presentasi brin alas sereng tidak enak alat beli jtseingatku alas kembang orang percaya hak paten bikin hak cipta nama alat berita nikuba romania nama alat,negatif
312,nikuba nama bakteri,positif
56,temu nikuba tamat sekolah tara sma tolak,negatif
144,percaya nikuba temu orang indonesiasemangat mixel,positif
60,dapat jabat negri hormat mengakuimenghargai temu hebat,positif
6,nikuba ditelity hoaxyg percaya hoax silah,positif
8,temu nikuba koar medsos alangkah baik paten pack jual dah koar medsos,positif
362,tolol percaya nikuba gantiin mesin diesel,negatif
281,dari nikuba jenis dah riset ilmu hasil efektif knpa ributin tinggal indonesia,negatif
546,orang brin potong bisnis nikubadasar otak penghianat bongkar borok,negatif
473,memang tehnologinya paten mematenkannyahati orang barat pinter formula bocor kembang,positif
520,brin malu taek apresiasi kagak nikuba khusus undang brin ragu nikuba neliti kroscek nyinyir bacot goblok ikut muncul italia caper ngklaim numpang tenar taekkkkkk brin goblok tolol,positif
206,brin dah blacklist ama temu nikuba brin isi politikus riset cmn urus teknologi politik,positif
38,misel libat brin kembang nikuba misel paten hak cipta campur tangan perintah perintah jegal klaim temu otomatis misel kompensasi hak cipta,positif
185,nikuba nasib mobil listrik beli malaysiapayah dukung perintah ken uang kuropsi sedih,negatif
468,nikuba aku ri pertamina kerja to kena phk,netral
240,yo tehnologi kembang perintah modern tidak modern banding nikuba tehnologinya mobil esemka sangatcanggihnegara bom tanding,positif
278,birokrasi indonesia antusias temu sejarah adab dunia tanah pertiwi sejati jg subur orang jujur pintar riset stag krgnya suport generasi generasi sodor ntuk konsumsi tekhnologi kerja lain sisi sll bangga besar leluhur masa dulunya abai waris hebat besar nenek moyang dulunya tekhnologi mobil listrikpenemuan gunung padang nikuba akan tanah surga abai,positif
389,sumpah nikuba goblok alih isu,netral
301,misel kecewa undang stlah presentasi bantu ilmuwan sana ngidupin motor nikuba dari romania transfer knowledge katax lgs ttd kontrak negeri kecewa negara orang jg kecewa mwnya namax cipta alat katax revolusioner jalanx mudah mulus fergussomemang buuaanyaak khususx ilmuwan masyarakat yakin smw raguskeptislah kecewa maju katax order masuk khususx satu tninah jadi narasumber jg metro smw hasilx,negatif
474,presidenya kader tum bu mega anak cucu karnopenemu nikuba guna guna yanh guna ganjar eko kuntadi kl mah guna tidak ada manfaat,positif
124,gilir panggil orang nimbrung skeptis nikuba,netral
154,hasil ledak elektrolisis butuh energi listrik pisah hidrogen ledak hidrogen anti energi listrik buat simpul jalan nikuba hidup montor membutukan arus listrik hasil ledak berulangkali jala montor boros listrik gx efisien,positif
318,pakai nikuba rugi mafia minyak serta ritelnyawkwkwk,negatif
59,kubu percaya nikuba tuju silah hujat,negatif
329,sayang hilang orang pintar gara gara lembaga indonesia sok pintar harga karya anak bangsa kecewa nikuba alat alat aku perintah lembaga khusus tangan contoh alat bunuh kanker aku pemrintah lembaga sehat alas masuk akal kembang inti beda alas dikembangkqn contoh drone elang hitampesawat rpesawat kabar gara gara brin brin bawah proyek brin batal melanjutkannyandan lembaga tolak sikat tindak tolong menteri tri dengar hati rakyat presiden usut,negatif
478,jelek orang brin karya anak bangsa indonesia harga cemooh olah temu ganti bbm ujung jahat brin sembunyi makelar nikuba italia orang brin untung dari milik du patok harga brin sepakat selubung orang brin jual harga karya sperti mahal banget bayar kembang kendara merek kenal itali kemarin orang brin tolak mentah mentah tua inimereka orang bejat orang brin nama sungguh miris negara nkri cinta cipta amak bangsa de cemoh habis mohon presiden menhan prabowo temu tolong perhati bantu kembang ilah konpensasi orang cipta biar penenuan hebat lari negri ujung jutru konsumen temu anak bangsa jual negara asing,positif
504,teknologi nikuba nilai trilyun,positif
549,nikuba selamat kendara bensin kendara listrik,netral
284,negeri takut bbm laku nikuba kembang,negatif
345,nasib nicuba jual kantongin smua jdi senang,positif
316,sisi ekonomi nikuba ancam mafia bahan bakar teknologi apa temu teknologi trsebut ancam sisi ekonomi ato masyarakat luas berkah so,positif
55,mohon cermat lihat pengakuakuan beliau baru italia tarik beli proyek nikuba suruh presentasi ilmu ambil bayar peser netizen koar bangga salah pemerintahemang butuh teliti ilmiah,negatif
171,sebenernya allah swt sayang rakyat indonesia makan cetus internet hak patenya ambil jepang nikuba muncul perintah dzolim jual hasil bumi negeri harga mahal maju harga dikembangkann negara eropa negara minyak italia usaha ganti minyak ramah lingkung teliti lanjutannyaa,positif
239,lanjut paknikubanya moga manfaat hidup dijagad rayaaamiinlwkbgisulteng,positif
264,enerji nikuba enerji baru bayang air bahan bakar industri nikuba,positif
158,liat negri maju sdm rendah perintah susah ajak maju teknologi nikuba kadang alas terima sdm rendah,negatif
242,nikuba taik babiotak goblok sok pinterngrakit smk gakbecusdasar kacung cari mukabisa onde onde,negatif
34,beda nasib nikuba vs esemka,netral
375,nikuba release kali,netral
18,rakyat indonesia tolak nikuba bbm nikuba pamer jalan jalan bbm rakyat indonesia percaya,negatif
263,oooo metro tv media bangkit cerita hoax nikuba,positif
550,milyar nikuba nila ribu triliun eropa hydrogen viral mahal nikuba temu dasyat zaman indonesia lewat tolol ambil living in the future,negatif
536,nikuba paten koq ditutuptutupi,netral
52,moga nikuba terima ferarikita amat sampek jadi jaman sby,positif
74,preett nikuba hoax,netral
26,mantap habibi mati karya alas penting nikuba gilir ambil orang kalang kabut ajimumpung cari nama bilang masuk akal bilang masuk akal sain masuk akal contoh lampu bisa ko manusia kasih lebih akal,positif
173,perintah takut mafia minyak nikuba aku pasar peetamina rugi pom tutup,negatif
92,cumak mafia migas nolak nikuba perintah nolak,negatif
167,nikuba masuk akal njir smua ahli ngomong efisien metro jelekin prmerintah,negatif
4,alat nikuba kembang pertamina omset anjlok,netral
462,aryanto nikuba alat jenis jual mana praktikum temu hebat,negatif
181,dukung mu paktest motor tangki bbm persen pakai nikuba,positif
211,rayu brin cemooh nikuba tolak jabnrin rayu,negatif
358,orang negri sibuk urus urus kelompok orang cerdas negri undang nikuba,positif
252,pecat orang orang brin ganti misel temu nikuba,negatif
455,ketimbang pabrik batere mobil listrik mending nikuba kembang,positif
5,coba mobil putih muat toa milik kadrun ganti nikuba teriak bbm,positif
141,nikuba omong kosong main anak mudah ski percaya mo bukti in tangki motor lepas jamin motor hidup alat model sperti,positif
308,nikuba jadul ribut aneh,negatif
200,brin ngintil itali respect hasil temu beliau juang nikuba kendara roda tni hasil berangkat itali disupport pangdam siliwangi jadi spt nyanyi indo harga agt negeri seniman jabat lokal latah lomba citra,positif
135,nikuba orang indonesia jual itali kembang negara itali lambonikuba supercar beli rafiahmad adre taulani kawan kendara spt depan cina jepang korea amerika elon musk ikut kendara nikuba impor indonesia alur perintah tindak anak bangsa,positif
402,nikuba sukses produsen bbm gulung tikar pertamina hasil negara bbm hilang mobil listrik ancurrrr wkwkwkwwk ngisi bbm depot isi ulang air galon rp galon ltr wkwkwkwkwk,positif
122,pertamina ancur nikuba sah indonesia mafia enak bisnis minyak makan pom bensin kukut,positif
22,sayang karya anak bangsa harga negeri lembaga remeh,negatif
68,nikuba terap indonesia mafia bbm engga tuju,netral
210,omong kosong undang presentasi viral indonesia aku klaim andal nikuba viralnya nikuba tampak betapa bodoh bangsa tekhnologi usang bukti efektif energi harap,negatif
20,temu bpk aryanto dunia,netral
311,gilir paten nang timor leste mrenges ncen respeck petinggi raja sintoloyo tumrape kanggo poro temu alat nikuba,positif
343,jaya jepang mesti nikuba ikut jaya italia,positif
14,komennya sdm rendah minim literasi minim ilmu moga cerah nikuba hebat klaim media bombastis anak sains tertawa,positif
170,nikuba dah unggul toyota dah luncur bahan bakar air cell,negatif
338,nikuba temu orang is hoax nikuba mesin jual bukalapak,negatif
533,lanjut kerjasama negeri mudah nama bpk temu nikuba kenal dunia wakil nkri,positif
313,maju nikuba keren,netral
220,media besar searching seluk beluk nikuba nama joko energy,positif
499,dukung pakdiluar negeri aku diapresiasikayanya dateng kesana curi resep nikuba paktapi gengsi terang pengin resep gratisandipatenkan,positif
64,leginitas negri merdeka sepenuh munkinkarena kerjasama ikat itujika indonesia kembang nikuba perintah,negatif
527,demonstrasi brin masyarakat rahasia air komponen elektronik rahasia penasaran cepat elektrolisis daya butuh elektrolisis moga sukses,positif
299,perintah indonesia harga temu rakyat kes sepele hina mobil listrik riki selon lulus uji emisi teknologi nikuba luar negeri harga emang kocak perintah indonesia gilir klaim ngamuk,negatif
120,teknologi sempurnakanbaru indonesia kpd negara kembang pasar nikuba indonesiaindonesiakan doyan impordan perintah salah skil sdm ambil negara,positif
81,brin bukti ilmiah brin badan riset inovasi nasional brin inovasi nikuba bukti ilmiah,positif
539,beli minyak persen orang bumn maknya pakai nikuba,negatif
366,keren misel nikuba spt sikap,positif
246,mil nikuba protes peemu sana temu nikuba boong temu aryanto ln kecewa kecewa jual mabes tni,negatif
325,brin buang duit negara hasil jahat pakai comment nikuba layak sedang bentuk opini public skrang ambil italy ehbrin pakai nyusul italy buang duit negara asli sampah masyarakat,negatif
541,perintah tolol indonesia posisi konsumen nikuba negara asing produsen,negatif
535,bubar lembaga dukung usaha anak bangsa usaha temu teliti,negatif
160,daftar cipta nikuba royalti temu,netral
544,bubar lembaga dukung usaha anak bangsa usaha temu teliti,negatif
238,harga dari hongkong orang cipta aj harga sampa italy suruh buka formula harga padan politisasi nikuba nasdem ikut viral dukung temu,positif
441,tolak negara sempurna nikuba,negatif
268,nikuba jis buat cina jokowi dkk suka sebab maling korup dongkrak elektabilitas ganjar pbowo brin isi pr jilat rakus,positif
416,indonesia susah kreasi masker masalah sni ijin bina lanjut negri teliti sempurna nikuba,negatif
364,tetep pakai bbm nama alternatif nikuba pakai air,netral
417,nikuba bohong usaha asing tarik,positif
51,nikuba lakuyg mafia bbm ketar tir hilang cuan bayangin liter bensin rubah jarak km,negatif
195,abai brinjangan kerja samasebab tidak percaya pernemuan nikuba,negatif
191,metro tv semenjak prahara nasdem berita serang pemerintahsoal nikuba apresiasi perintah sepenuh perintah fokus energi alternatif program biosolar program jangka uji janji,negatif
116,mau bodohin ni orangnikuba cium bau gas alat alat palsu jerman butuh proses ubah air hidrogen alat cm ringkas hidrogen pakai kali orang coba alat aryanto muter muter ngeles,negatif
354,nikuba geser konsorsium takut nemunnikuba hilang bumi,positif
458,nikuba pakai indonesiaorng atas miskin korup,negatif
164,mari tunggu paten nikubajika paten brin salahapa butuh bensin tidakato fuel saver,netral
106,prinsip kerja nikuba hho ribu bahas youtube air nikuba tara liter bensin biaya energi rp tipu,positif
381,kesal temu nikuba brin betulbetul dihargain orang pintar indonesiagak maju jadi,negatif
63,brin profesor aryanto lulus stm kalah gengsi pikir salah tidak harga orang profesor mental tempe tidak legowo lanjut aryanto tunjuk temu manfaat orang tidak harga negeri regulasi gpp booming dunia teknologi nikuba nyesel,negatif
105,sayang nitizen indo tolol percaya tipu nama nikuba,negatif
344,nikuba musuh mafia migas,netral
526,bravo karya anak bangsa aku bangsa semangat nikubapenemuan hebat tetap harga aku pemimoun negeri,positif
457,nikuba teknologi dijepang coba banding listrik keluar tenaga hasil,netral
393,jual harga sebatulnya harga mahalbrin bodoh teknologo nikuba bagus hasil maksimal bbm kapal kendara teknologi,negatif
93,perintah harga tni harga karya ank bangsa dngn panggilny nikuba mil orang memanffatknnylucu dngn rezim in,positif
376,ntar teknologi nikuba pakai proyek kembang kendara listrik gagal gagal,negatif
339,mantap jual nikuba negri jual indonesia harga perintah pusat dukung anak bangsa menciptkan teknologi canggih perintah pusat dukung jabat korupsi real hoaxmalah harga negara eropa negara barat karya anak bangsa indonesia harga jual,positif
198,nikuba efisien,positif
145,pertamina ketar tir nikuba,netral
150,hahahasuu nikuba misel mblgedess cok,netral
39,awalawal temu temu nikuba tanggap positif pihakpihak kait negeri brin kemendikbudristek dll undang temu nikuba presentasi kembang dukung riset sempurna temu nikuba teliti latar akademisi teliti sesuai sop teliti kampus brn kampus sudut sop teliti akademis temu dunia background kampus temu hasil trial and error kali ratus ribu cobacoba hasil temu rasa sinergi temu nikuba brin bagus temu nikuba teliti brin lurus prosedeur riset apa anak bangsa kait inovasi harga penting orang langsung cibir caci kritisi habis,positif
508,negara batas sumber daya lanjut proyek beda negeri pabrik sesuai minyak bahan jadi sumber energi mobil beda pabrik mobil asli produk indonesia bangsa,positif
330,uang milyar murah ferrari uang jg bagi saham kendara ferrari pasang nikuba hak paten aku teknologi nikuba dari ferrari nama damping lawyer bpk ditipudibodohi ferrari,positif
253,brin nikuba masuk akal temu emang nalar temu listrik sangka masuk akal temu nama,positif
498,nikuba kalah pamor narkobamungkin kendala,negatif
476,buka buka situs air proses bhn bakar situs negri banyakbahkan canggih situs sadah pasang kepada trukbusmobilmotor rumus hukum energi bhw energi hasil banding lurus serap butuh,positif
2,nikubadi pakai indonesia bisnis bbm indonesia,negatif
221,anies baswedan lanjut nikuba nasdem alis ubah dukung metro tv,positif
521,mafia bbm kejang kejang nikuba,netral
146,tahan temu nikuba pintar cerdas,positif
241,esemka pakai nikuba negara rugi melulu gara gara minyak tekan angka keluar minyak negara,negatif
515,orang asli,negatif
410,nyusul nyalip bpk temu nikuba anehx negri nyikut duit,negatif
114,lanjut apa nikuba jos gandos,netral
385,searching nikuba teknologi silah cari tonton efektif,negatif
176,nikuba tolak ri mafia rezim bisnis untung rezim jaman pikir ber bisnis negara untung makan perut serta keluarga,negatif
168,cerita nikuba riset rakyat anggap ancam posisi cuan monopoli dagang bbm industritechnologi apa negri konoha basmi tangan birokrat,negatif
436,kalah mafia migas kali nikuba sukses sengsara mafia mafia pensiun,negatif
353,lanjut brin teknologi nikuba jual,netral
342,teknologi nikuba teknologi energi baru pertamina pelopor usaha sumber daya energi inovasi untung usaha teknologi maju ekonomi indonesia ganti bbm tengah harga bbm,positif
136,tidak brin unit nikuba bedah isi kerja tentara pakai kesan misteri gelap,positif
421,maaf klau gw percaya nikuba sbtlnya joko energi joko priyanto nama ho ujung jg pkai bensin coba cari linknya joko energy,positif
254,nikuba ngk cocok mobil esemka cocok mobil ferari mangkanya tolak brin,negatif
479,hati misel jg curiga dari brin ambil untung dari temu semangat inovasi,positif
306,brin cengkeram penting partai xxxx ketua lembaga manfaat bangsa mupus asa teliti negeri nikuba uav elang hitam contoh nyata,positif
469,anis kelak presiden bpk temu teknologi nikuba harga,netral
429,klaim hho ganti bensin salah klaim nikuba aryanto salah desain hho generator model joko energy aryanto jiplak sila cek paten,negatif
255,karya anak bangsa harga dalam negeri harga luar negeri bangsa harga karya anak bangsa maju semenjak jaman bj habibie,positif
232,mantab nikuba urus brin jual modal riset,positif
133,bagus brin aj beli teknologi nikuba harga bandrol ariyanto miliar ariyanto kecewa brin aj terus nikuba kembang jk brin baik citra kepada masyarakat indonesia,positif
33,drama wakanda nikubanikubanyu nikubacotbuktikan cepat produksi jalan sepeda tangki lt kmsemangat,netral
88,bos bos tambang minyak takut bangkrut bahan bakar minyak tidak laku nikuba,negatif
290,nikuba jual brin tahu cipta,netral
44,gimanagimana terang gw sanksi nikuba elektrolisis efesien kasar buang energi elektrolisis air energi langsung pakai gerak motor lepas efesien desain teknis elektrolisis skala paten desain beliau khawatir karya contek orang,positif
61,muncul sedang bae nikuba hahaha,netral
199,mudah tipu media percaya nikuba efisien dikit dikit indonesia maju bacot wkwk netizen percaya berita tolol kyk gin masuk akal,positif
503,rg laku thdp nikuba bukti dungu rezim,netral
532,indonesia kembang nikuba bisa nyinyir,netral
367,malu ajig nongol orang brin bantai habis nikuba,positif
347,muhammadiyah hisab kalender islam global nyinyir brin nikuba nyinyir brin,netral
218,tinggal tunggu kabar italy kendara bahan bakar air temu nikuba frame nikung kipas hasil,netral
302,harga negara cenderung jelek jelek anga salahnyapembuat nikuba jual lainapakah buat nikuba mjd penghianat bangsa mnrt sayaitu relatifknp nikuba subtantif bahaya selamat negarabeda lagijika nikuba senjata musnah massalmisalnyanikuba masuk kategori teknologikalau butuh negara sendirilantas penemuhrs ubah nikuba mjd milik bangsa lainwallohualam bissowwab,negatif
297,jual milyarrrrwotsss alam damping tani kayu pasak bumi produk beli murah tambah beli tani kasih gratis ajapetani mencaksaya gratis moukalian koperasi koperasi catat pegang saham beli mencak nikubamohon gandeng acara hak berat biaya acara kasih fee dariroyalti ferrari beli persentasi royalti pakai alat nikuba mobil ferrari so maju maju indonesia,positif
73,nikuba goreng jelang milu,netral
295,baja nano milik paten jepang manfaat dunia internasional blum teknologi bangkit listrik tenaga air laut paten amerika nikuba tolak brinkalo negara isi orang orang bodoh tunggu hancur,negatif
35,percaya nikuba bual misel fisika bulshit turut liter air km tetes km come on baraya pintar ko analis iniini ud bual media memamfaatkan emosi nitizen berita bombastisayolah be smart main media,negatif
348,esemka lahnikuba lahnakorba lahmacam lahbubar,netral
29,perintah goblok pilih rakyat presiden dukung rakyat putra nkri creator nikuba,netral
437,ngetawain remehen konten nikuba liat hasil,positif
415,takut miyak bumi ngk laku,netral
422,nikuba incar ferrari tolak esemka,negatif
309,dukung sungguh sulit negara koruptor,netral
530,aryanto misel tamat beliau ilmu otak atik alias cocoklogi samahalnya tukang las pandai bentuk helikopter terbang wkwkwkwkwkwkwkk nikuba alat efisien,negatif
217,gegara nikuba gagal paham paham,negatif
27,nikuba bukti efisien,netral
407,persis skandal fenomenal theranos teknologi jiplak inovasi bohong besar klaim air ganti bbm bantu efisiensi bahan bakar ybs ajak uji coba institusi orang uji nikuba tangki bensin tolak takut kuak bohong orang ilmuwan kompeten bidang tertawa nikuba,positif
355,indonesia kembang teknologi nikuba,netral
156,hati resep nikuba nyabisnis asing licik,positif
408,mobil motor bahan bakar pakai air dngn teknologi nikuba timur arab amerika bangkrut bisnis perang harga minyak dunia adalagi bisnis minyak perang,negatif
443,negeri cinta lembaga negara angkat penemukreatifitas anak bangsa memprehatinkan nikuba salah kreatifitas orang indonesia,positif
138,indonesia bahas nikuba tekhnologi dll byorka nangkap dah gas negeri insyaallah harga,positif
212,gila negri apresiasi tni semangat moga karya bangga indonesia,positif
104,eropa kembang nikuba mobil motor jual indonesia ngasih ajar orang indo btapa harga temu,positif
424,negri hasil nikuba kalah batrai listrik sawit,positif
420,awas prank km air tekor aki bos brin hemat bbm pure air nikuba tempuh jarak kecuali air nikubanya aki super benara model alat joko energy nikuba micel muncul,positif
501,teknologi tahan indonesia hayoo galang dana misel teknologi nikuba cuman segitu netizen galang dana misel,netral
215,mobil listrik karya kupukupu malam jogja jga nasib sma nikuba,positif
471,iya kelas ferari teknologi bahan bakar hidrogen,positif
189,kecewa pas brin itali brin alat shg nikuba ngejual taknologinya kpd orang itali mending uji kompeten hasil,positif
214,nikuba proyeksi tikus tikus negara lapar iyaa,negatif
513,bravo karya anak bangsa aku bangsa semangat nikubapenemuan hebat tetap harga aku pemimoun negeri,positif
204,pro rakyat rakyat wi njar brin limpah dana apbn kembang riset alat politiksabar anies kembang teliti nikuba promosi dunia internasional sekjen pbb menit langsung tuju konsep climate change anies,positif
234,nikuba tolak ri ri ilmu dana tenaga air ferari emang canggih master mobil dana update apasaja nikuba temu orang indonesia terima negara update ilmu dana,positif
259,elite senang jual minyak kurang anda nikuba alternatif bahan bakar irit potong cuan perintah indonesia pasilitas uji temu indonesia gantung andai ilmuwan riset kembang ilmu bicara perintah indonesia kapasitas tahu ahli indonesia bagus uji tuju ilmuwan kenal cerdas indonesia contoh habibie ajh indonesia kapasitas ilmuwan uji temu habibie presentasi jerman ilmuwan teknologi jerman kepada kepada cerdas main uji pakai negara saran uji temu riset indonesia jadi semangat orang indonesia andil dunia ilmu teknologi modern lu uji indonesia mikir cuan duit inti tpkalo orang barat netral apresiasi temu negara mana,positif
67,mes neh bahas mes nikuba orng jngn gaduh akan ne tolak negeri coba lihat minusny kelebihanya kendara motor mobil indonesia tu aman kah,positif
24,media bodoh fakta aryanto italy bawa nikuba nikuba uji coba buat rumania aryanto dapat transaksi harga dapet aku italy,negatif
216,berani beratuh harta nikuba hoax klaimnyasilahkan inbok berani,positif
300,hak paten misel dapet royalti produksi nikuba,netral
223,jelasjelas kodam iii siliwangi meng uji jalan nikuba tempuh cirebon semarang pikir kodam iii membohingi publik jatuh marwah institusi negeri sambut apresiasi berkompwten go international aryanto dukung,positif
129,tunggu usaha otomotif eropa lirik nikuba lanjut tahap lirik,netral
463,simpul bang anis baswedan jawab anis presiden nikuba aku negara,netral
111,yaampun bodoh publik media tonton juta orang italy berita nikuba,positif
166,jgnkn nikuba cm seuprit doankpesawat predisen bj habibie sj aku negara saran klian pinter kl karya aku negara buat sistem korupsi struktur susah lacak aku support lngsng,positif
511,karia anak bangsa harga negeri sendir sehat salalu nikuba,netral
482,kabar hujat temu nikuba moga kena mental,positif
40,nikuba joko energi temu nikuba,positif
274,brin rezim takut teknologi nikuba jual asing,netral
432,mobil listrik harga kembang eh rame mobil listriksekarang temu nikuba lirik kembangin jugahadeuh jngn smpai sesal,negatif
79,temu hoax pangdam tambah minta produk dari nikuba produk uji unit kendara kodam siliwangi denger pangdam tambah unit masuk akal orang itali buang dtang kesini repot undang mil bangsa bodoh bangsa brin teknologi ambil unit motor pakai kodam siliwangi bukti dokumentasi masyarakat awam plonga plongo kek orang linglung ngapain temu indonesia dlu efisien nikuba harap arianto sempurna,positif
380,negara majukarya anak bangsa disupportpdhal nikuba sukses negara buka lapang kerja tambah hasil negara impor,positif
382,liat nikuba sukses negerimaka brin tutup usia,positif
327,nikuba cepat produksi negara beli formula aryanto sukses aryanto,positif
13,nikuba tolol,negatif
287,bayang nikuba liter air kmpertamina bangkrut,netral
326,indonesia ni bos negeri penuh penting pribadi kelompok orang misel temu nikuba nasip mafa mafa mafa oh mafa,positif
502,jokowi gercep engga eropa engga butuh nikel indonesia ilmu nikuba jual indonesia mahal,netral
251,perintah aku nikuba air nikuba jadi bbm minyak laku perintah cari cuan,netral
228,nikuba rugi negara tangkap temu,negatif
425,knapa tv mtro bela nikuba angkat politik objektif tv metro kes tv politik,netral
161,konoha pakai nikuba minyak laku alhasil usaha minyak belakang perintah cuan sedang jabat konoha dapet cuan deh,positif
