,Text,TextEng
10,"NIKUBA,,,,singkatan dari NiKU BAc*T,,omongmya doang yg gede ke media,,,padahal dalam kenyataanya tdk sesuai fakta,,,katanya ke itali ada tawaran dari piha ferrari,ducati dan cs nya,,,padahal dalam faktanya aryanto ke italali hanya dalam menghadiri kopdar klub otomotif,,jd itu bukan dari pihak ferrari ya,,,,bnyak media online abal2 yg asal bikin judul berita,isinya pembodohan semua,,,,terutama tribun tuh,,cuma nyari viewer ketimbang efek dari berita yg di timbulkan،،,,","NIKUBA,,,, stands for NiKU BAc*T,, the talk is just big to the media,,, even though in reality it doesn't match the facts... Aryanto went to Italy only to attend the Kopdar Automotive Club, so it wasn't from Ferrari, right? news generated,,,,,"
11,Rakyat NKRI lebih bangga dg hasil viral daripada berfikir ilmiah.... dia kesana untuk d minta benerin nikuba dari rumania.,The people of the Unitary State of the Republic of Indonesia are more proud of the viral results than thinking scientifically.... He went there to ask to fix Nikuba from Romania.
12,Rancangan mobil hydrogen Korea pake alat hydrogen.saya baca di koran otomotif..tapi belum berhasil..ini sudah berhasil duluan nikuba..tinggal tahap tahap penyempurnaan.,The design of a Korean hydrogen car uses a hydrogen device. I read it in an automotive newspaper..but it hasn't worked..this has worked before nikuba..it's just a stage of refinement.
13,Nikuba tolol,Nikuba idiot
14,"Dari komen""nya terlihat, memang SDM kita masih rendah
minim literasi, minim ilmu

Semoga banyak yang tercerahkan kalau nikuba ini tidak sehebat yang diklaim saat ini

Media juga terlalu bombastis
Anak"" sains tertawa melihat ini","From the comments, it can be seen that our human resources are still low
minimal literacy, minimal knowledge

Hopefully many will be enlightened that this nikuba is not as great as it is claimed at this time

The media is also too bombastic
The science kids laughed at this"
15,Seharusnya penemu nikuba ini jd ketua BRIN soalnya risetnya menghasilkan sesuatu ini malah ketua BRIN diberikan kpd ketua umum partai apa yg mau dihasilkan,"The founder of this nikuba should have become the chairman of BRIN, because his research yielded something. In fact, the chairman of BRIN was given to the chairman of the party what he wanted to produce."
16,Yang jelas kalau nikuba direspon maka mafia minyak akan tidur di kolong jembatan,What is clear is that if Nikuba responds then the oil mafia will sleep under the bridge
17,"Hanya kodam siliwangi yang mengerti, ingat KODAM SILIWANGI  YANG MENGERTI NIKUBA !!!!!!👍👍👍🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨","Only the Siliwangi Military Command understands, remember the Siliwangi Military Command, which understands NICUBA !!!!!!👍👍👍🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨"
18,Bukan rakyat Indonesia menolak nikuba seharusnya dengan BBM naik nikuba harus di pamerkan dengan jalan jalan tanpa BBM supaya rakyat Indonesia percaya,"It's not that the Indonesian people reject nikuba, they should use fuel to go up, nikuba should be showcased on roads without fuel so that the Indonesian people will believe"
19,yang paham fisika pasti gak bakal percaya dg klaim2 nikuba,those who understand physics will definitely not believe in nikuba's claims
20,Suatu saat penemuan Bpk Aryanto akan mendunia....,One day Mr. Aryanto's invention will go global....
21,"Udah di jelasin sederhana tp masih bego
Si paling nikuba😅😅😅","It's been explained simply but it's still stupid
The most nikuba😅😅😅"
22,Sayang sekali karya anak bangsa byk yg tdk dihargai dinegeri sendiri karena lembaga² yg meremehkan,It's a shame that the work of many of the nation's children is not appreciated in their own country because of disparaging institutions
23,"Sains itu selalu berkembang, meski gak masuk akal janganlah menolak mentah2 apalagi mencibir. Mungkin ilmu anda belum nyampe. Gitu aja. 
Jika orang pintar Harusnya lebih terbuka dgn  inovasi baru, jangan hanya terpaku pada rumus enstein atau hawking yang ada di masa lalu, apakah orang-orang pintar hanya ada pada masa lampau????","Science is always developing, even if it doesn't make sense, don't reject it outright, let alone sneer. Maybe your knowledge has not arrived yet. Just like that.
If smart people should be more open to new innovations, don't just stick to the Einstein or Hawking formulas that existed in the past, did smart people only exist in the past????"
24,"Media bodoh, padahal faktanya aryanto datang ke italy tidak membawa nikuba, nikuba yang di uji coba itu buatan rumania, aryanto hanya dimintai pendapat. Gak ada itu transaksi harga atau dapet pengakuan dari italy.","The media is stupid, despite the fact that Aryanto came to Italy without bringing Nikuba, the Nikuba being tested was made in Romania, Aryanto was only asked for his opinion. There's no price transaction or recognition from Italy."
25,"Dalam negeri itu kebanyakan koruptur.. 
Percuma buat modalin NIKUBA, Mending Duitnya dimakan sendiri.. 😂😂😂","Most of the people in this country are corrupt..
It's useless to invest in NIKUBA, it's better to eat the money yourself.. 😂😂😂"
26,"mantap pak tegas,… dulu pak habibi dimatikan karyanya dgn berbagai alasan dan kepentingan..
Sekarang nikuba giliran mau diambil orang kalang kabut ajimumpung cari nama, dulu dibilang gak masuk akal..
 Kalo dibilang gak masuk akal semua sain gak masuk akal contoh lampu bisanya ko bisa. Cuma itulah manusia dikasih kelebihan yaitu akal","great, sir, firm,... in the past, Mr. Habibi stopped his work for various reasons and interests..
Now it's Nikuba's turn to be taken by people who are frantically trying to find a name, they used to say that it didn't make sense..
 If you say that it doesn't make sense, all science doesn't make sense, for example, how come a lamp can do it. Only that humans are given the advantage of reason"
27,"Nikuba ini sudah ada 2010, dan sudah terbukti tidak efisien","Nikuba has existed since 2010, and has proven to be inefficient"
28,"jika nikuba di buat massall
maka celaah keuntungan akn kecill sdikit celah di buat korups untuk berjamaah

itulah knp bibit anak bangsa yg cerdas2 di anggap merugikan

dn sampe kiamat pun sluruh pejabatmu akan menjajah mu turun temurun","if nikuba is mass produced
then the profit gap will be small, there will be a little gap for corruption to join the congregation

that is why the seeds of the nation's smart children are considered detrimental

and until the end of the world, all your officials will colonize you for generations"
29,"PEMERINTAH ITU GOBLOK SEKALI SUDAH DI PILIH RAKYAT JADI PRESIDEN, TIDAK MAU DUKUNG RAKYAT, PUTRA NKRI LAGI YANG CREATOR NIKUBA","THE GOVERNMENT WAS ENCOURAGED ONCE THE PEOPLE ELECTED TO BE PRESIDENT, DON'T WANT TO SUPPORT THE PEOPLE, THE SON OF THE NKRI AGAIN IS THE CREATOR OF NICUBA"
30,"Bohong banget metro ini, bukan dihargai, tapi mau diambil alih tanpa ada pembayaran hak cipta, itu yg bilang sang penciptanya sendiri!
NIKUBA ini bukan barang baru, kalau efisien, pasti negara maju sdh membuat alat ini dengan massal!","This metro is so lying, it's not appreciated, but it wants to be taken over without any copyright payments, that's what the creator himself said!
NIKUBA is not new, if it were efficient, surely developed countries would have mass-produced this device!"
31,"Dari bulan lalu, beritanya tentang Nikuba dilirik mulu.
Apa untungnya kalo cuma DILIRIK ???","Since last month, the news about Nikuba has been glanced at.
What's the point if you just LOOK at it???"
32,"Negeri ini sulit sekali menghargai hasil karya anak bangsa sendiri. Ada nikuba, dan yang teranyar adalah stadium JIS. Semuanya dikatakan memiliki banyak cacad. Tetapi kalau hasil karya rezim dan konco konco nya walaupun banyak cacad dan kekurangan tetap disanjung-sanjung. Memang MENYEDIHKAN.","It is very difficult for this country to appreciate the work of its own nation's children. There is a nikuba, and the latest is the JIS stadium. Everything is said to have many defects. But if the work of the regime and its cronies even though there are many flaws and shortcomings, they are still praised. It's SAD."
33,"lama lama drama wakanda ini nikuba.....nikubanyu jangan sampai jadi nikubacot......buktikan secepatnya....1 produksi untuk jalankan sepeda tanpa tangki, 1 lt bisa 500 km...........semangat","it's been a long time since the drama of Wakanda has been Nikuba.....nikubanyu don't let it become a nikubacot......prove it as soon as possible....1 production for running bicycles without a tank, 1 liter can do 500 km......... ..Spirit"
34,Beda nasib NIKUBA vs ESEMKA🙄,The fate of NIKUBA vs ESEMKA is different🙄
35,"Apa cuma ak yg percaya kalo Nikuba ini cuma pembualan bapak misel saja ya...😂
Secara fisika itu bulshit menurutku..
1liter air bisa 200km 
1tetes bisa 45km 
Come on baraya ga perlu pintar ko menganalisis ini..ini ud pasti pembualan, dan media memamfaatkan emosi nitizen membuat berita bombastis..ayolah be smart jangan mau di permainkan media.","Am I the only one who believes that Nikuba is just Mr Misel's boasting, huh...😂
Physics is bullshit in my opinion..
1 liter of water can go 200km
1 drop can be 45km
Come on, baraya, you don't need to be smart, how come you're analyzing this."
36,"Korban pembodohan media tv,di yt sudah lama dibahas kegagalan nikuba","Victims of TV media duping, on YT, the failure of Nikuba has been discussed for a long time"
37,Bikin berita mbok yang proporsional. Mendatangkan tenaga ahli juga. Perlu di cek aslinya apakah Ferrari beneran tertarik nikuba. Bisa cek berita aslinya dari portalnya resmi ferari. Jangan seolah-olah membuat heboh terhadap inovasi yg sebenarnya sdh lama dan tdk layak. Tapi judulnya tidak salah dan tidak bisa digugat karena menggunakan tanda ?,Make proportional news. Bring in experts too. Need to check the original whether Ferrari really interested nikuba. You can check the original news from the official Ferrari portal. Don't pretend to make a fuss about innovations that are old and not worth it. But the title is not wrong and cannot be sued for using the ? sign.
38,"Menurut saya pak misel gak usah melibatkan BRIN untuk mengembangkan nikuba,, lebih baik jika pak misel mematenkan hak cipta sendiri.. Tanpa campur tangan pemerintah... Karena pemerintah bakal menjegal dan mengeklaim penemuan tersebut.. Otomatis pak misel gak bakal dpt kompensasi atas hak ciptanya","In my opinion, Mr. Misel doesn't need to involve BRIN to develop Nikuba. It's better if Mr. Misel patents his own copyright. Without government interference... Because the government will block and claim the invention. he created"
39,"1. Harusnya pada awal-awal penemuan dulu akan lebih baik jika penemuan NIKUBA ditanggapi secara positif terlebih dahulu oleh pihak-pihak terkait di negeri ini (BRIN, Kemendikbudristek, dll)
2. Undang penemu NIKUBA untuk mempresentasikan;
3. Jika memungkinkan dikembangkan ya didukung untuk riset lebih lanjut untuk disempurnakan, apalagi penemu NIKUBA bukanlah seorang peneliti yang berlatar belakang akademisi yang mana penelitiannya mungkin tidak sesuai dengan SOP penelitian di kampus, sedangkan pihak BR!N dan kampus melihatnya dari sudut SOP penelitian akademis; Ingat bahwa banyak penemuan2 besar di dunia yang tidak ada background kampus dari penemunya, tetapi hasil dari trial and error yang berkali2 bahkan ratusan atau ribuan coba-coba dan hasil penemuannya bisa kita rasakan sama saat ini;
4. Jika ada sinergi antara penemu NIKUBA dengan pihak BRIN akan sangat bagus, penemu NIKUBA bisa terus melakukan penelitiannya, sedangkan pihak BRIN bisa meluruskan prosedeur risetnya;
5. Apapun yang dilakukan oleh anak bangsa terkait inovasi harus dihargai apalagi untuk kepentingan orang banyak. Jangan langsung dicibir, dicaci, dan dikritisi habis2an.","1. In the early days of the discovery, it would have been better if the discovery of NIKUBA had been responded positively by the relevant parties in this country (National Agency for Research and Innovation, Ministry of Education and Culture, etc.)
2. Invite NIKUBA inventors to present;
3. If it is possible to develop it, it is supported for further research to be perfected, especially since the inventor of NIKUBA is not a researcher with an academic background, where his research may not be in accordance with the research SOPs on campus, while BR!N and the campus look at it from the point of view of academic research SOPs; Remember that there are many great discoveries in the world that did not have a campus background from their inventors, but were the result of repeated trials and errors, even hundreds or thousands of trials and we can feel the results of the findings today;
4. If there is a synergy between the inventors of NIKUBA and the BRIN, it will be very good, the inventors of NIKUBA can continue to carry out their research, while the BRIN can straighten out the research procedures;
5. Whatever is done by the nation's children regarding innovation must be appreciated, especially for the benefit of the people. Don't be immediately scorned, insulted, and criticized all over."
40,Ingat nikuba ingat joko energi penemu nikuba 2010 lalu,"Remember Nikuba, remember Joko, the energy that invented Nikuba in 2010"
41,"Nikuba harusnya menjadi kebanggaan bangsa bukan malah dimatikan, sudah banyak penemuan dr anak bangsa yg lari ke luar negeri karena tidak dihargai bangsanya sendiri, sebagai contoh penemu obat DBD dr kota Pontianak yg sampai hari ini mati matian memperjuangkan hasil temuannya tapi selalu ditolak, padahal sampai hari ini banyak negara melakukan riset obat DBD tapi tidak berhasil sementara di Indonesia sendiri sudah ditemukan malah dianggap sepi aja,mana nih orang yg katanya peneliti yg sudah bergelar profesor ,nggak usah malu kalau ada masyarakat biasa yg  berhasil melakukan riset,","Nikuba should be the pride of the nation, not even shut down. There have been many inventions from children of the nation who fled abroad because their own people did not respect them. For example, the inventor of the DHF medicine from the city of Pontianak, who to this day is desperately fighting for his findings but has always been rejected, even though to this day So many countries are doing research on DHF medicine but it's not working, while in Indonesia it's been found that it's even considered quiet. Where are the people who are said to be researchers who have the title of professor? Don't be ashamed if there are ordinary people who are successful in doing research."
42,"Kendaraan di Indonesia tidak sejalan dengan teknologi Nikuba, karna semua mobil di indo berbahan bakar bensin dll, sehingga hanya satu perusahaan mobil yg bisa mendukung teknologi Nikuba ini, yaituuuuuu,,,, ESEMKA, tapi Esemka hanya di produksi pas musim pemilihan, dan hanya di produksi oleh petugas partai, lewat omongan planga plongo😂😂😂😂😂","Vehicles in Indonesia are not in line with Nikuba technology, because all cars in Indonesia are fueled by gasoline etc., so that only one car company can support this Nikuba technology, namely,,,,, ESEMKA, but Esemka is only produced during the election season, and only in production by party officials, through planga plongo talk 😂😂😂😂😂"
43,Biasa lah brin gk mw disalahin negara. Atau mungkin pngen duit dari hasil kejeniusan NIKUBA,It's normal that brin doesn't want to be blamed by the state. Or maybe want money from the genius of NIKUBA
44,"Bukannya gimana-gimana ya. Terus terang gw sanksi sama nikuba. Biar bagaimana pun elektrolisis itu ga efesien. Kasarnya daripada buang energi buat mengelektrolisis air lebih baik energinya langsung dipakai buat menggerakkan motor. Tapi terlepas dari efesien atau ga, tentunya perlu desain teknis untuk melakukan elektrolisis dalam skala kecil ini. Harusnya bapak ini bisa mematenkan dulu desain yang beliau bikin sehingga ga perlu khawatir karyanya dicontek orang.","It's not how it is. To be honest, I am penalized by Nikuba. After all, electrolysis is not efficient. Roughly speaking, instead of wasting energy to electrolyze water, it is better if the energy is directly used to drive the motor. But regardless of whether it is efficient or not, of course a technical design is needed to carry out electrolysis on this small scale. This gentleman should be able to patent the design he is making first so that he doesn't have to worry about his work being copied."
45,"Negri ini pasti menolak nikuba,,,, kalau nikuba di akuii tuh pertamina gk laku di negri ini🤣🤣🤣,,,,,, ya  inilah indonesiaku","This country definitely rejects nikuba,,,, if nikuba is admitted then Pertamina won't sell well in this country🤣🤣🤣,,,,,,yes this is my Indonesia"
46,"Arogansi BRIN sbg lembaga para pakar/ahli terhadap temuan/inovasi yg datang dari kalangan non-akademisi memang menunjukkan keangkuhan dunia akademik, experiment Nikuba bila nyata nyata terbukti bermanfaat maka akan membuat pakar BRIN menjadi ""katak dalam tempurung""...siapa jago ngecap dan tak bermanfaat....wuih, uang negara habis untuk mereka saja, enak sendiri seperti ""masturbasi""..??","BRIN's arrogance as an institution of experts/experts towards findings/innovations that come from non-academicians indeed shows the arrogance of the academic world, the Nikuba experiment if it actually proves to be useful will make BRIN experts become ""frogs in a shell""... who are good at speaking and no use....wow, the state's money is used up for them alone, it's delicious like ""masturbation""..??"
47,"BUMN DAH BANGKRUT. 
KALO NIKUBA DI BUAT MASSAL...
APA YG AKAN TERJADI SAMA PENJABAT BUMN PERTAMINA.INI.
MAKA NIKUBA SULIT TEMBUS","SOEs HAVE BEEN BANKRUPT.
IF NIKUBA WAS MADE IN MASS...
WHAT WILL HAPPEN TO PERTAMINA.INI SOE OFFICERS.
THEN NICUBA IS DIFFICULT TO BREAK"
48,"Takut ada yg bangkrut klw pake nikuba.,.",Afraid someone will go bankrupt if they use Nikuba.
49,"Nikuba aja dibantai...
Apa lagi stadion JIS...
😱😱😱","Nikuba was slaughtered...
What else is JIS stadium...
😱😱😱"
50,Emangnya Barat bikin seperti itu gak bisa? Hingga tertarik produk nikuba?! Secara teknologi mereka lebih mumpuni. Tetap saja sampai skrg mereka pakai minyak. 😁😁😁 Mau ketawa takut dihujat 😁😁😁,"Can't the West do something like that? Until you are interested in Nikuba products?! Technologically they are more capable. Still, until now they use oil. 😁😁😁 Want to laugh afraid of being blasphemed 😁😁😁"
51,"Nikuba laku,,,,yg pasti mafia BBM ketar ketir kehilangan CUAn nya,,, 
Bayangin saja 1 liter bensin bs dirubah dg jarak 200km,,, luar biasa","Nikuba is selling,,,, what is certain is that the BBM mafia is terrified of losing their CUAn,,,
Just imagine that 1 liter of gasoline can be changed with a distance of 200 km ... it's amazing"
52,Semoga nikuba diterima ferari...kita amati saja jgn sampek kejadiannya sama seperti jaman SBY.,"Hopefully, Nikuba will be accepted by Ferrari... let's just observe, don't let it happen the same as during SBY's time."
53,"Jangan dijual ke uni eropa, pak.lebih baik diajukan ke pemerintah untuk dikembangkan agar dapat diproduksi mesin NIKUBA yang menggunakan bahan bakar air.","Don't sell it to the European Union, sir. It's better to ask the government to develop it so that NIKUBA engines can be produced using water as fuel."
54,Bilang aja takut bangkrut klo nikuba muncul,Just say you're afraid of going bankrupt if Nikuba appears
55,"Mohon di cermati baik2, lihat pengakuakuan beliau terbaru. Di italia tidak tertarik membeli proyek nikuba, hanya disuruh presentasi dan ilmu nya akan diambil tanpa dibayar sepeserpun. Jadi netizen yg koar2 jangan bangga dulu menyalahkan pemerintah,.emang butuh penelitian ilmiah lebih lanjut.","Please take a good look, see his latest confession. In Italy they were not interested in buying the Nikuba project, they were only told to present their knowledge and take it without being paid a penny. So netizens who are loud don't be proud to blame the government, it really needs further scientific research."
56,"Mungkin bapak penemu nikuba ini tamatan sekolah setara SMA 
makanya di tolak","Maybe the father who invented Nikuba graduated from high school
that's why it was rejected"
57,Mungkin dari pihak pertamina  yg takut  jika  nikuba jadi diproduksi,Maybe Pertamina is afraid that Nikuba will be produced
58,"Asli benar2 mentah hati bapak penemu nikuba ini ketika d tanya presenter, apa harapan bapak kepada pemerintah dan Brin untuk meningkatkan Nikuba ini,pak misel jawab dengan lantang ""wah saya tak butuh mereka pak, saya sudah d nantai habis"" lugasnya 😢
Pobroknya rezim sekarang sampai gedung DPR saja dalam penelusuran Google kandang tikus😂
Pejabat sekarang kebanyakan petugas partai, bukan petugas Rakyat,","When the presenter asked the presenter, you really had a raw heart from the founder of Nikuba, what are your hopes for the government and Brin to improve Nikuba, Mr. Misel answered loudly, ""Well, I don't need them, sir, I've been waiting for them to finish"" straight 😢
The problem is that the current regime even reaches the DPR building in a Google search for rat cages😂
Today's officials are mostly party officers, not people's officers."
59,"Saya kubu yang tidak percaya nikuba, yg tidak setuju silahkan hujat saya","I am a camp that doesn't believe in Nikuba, those who don't agree, please blame me"
60,Apa yg bisa didapatkan para pejabat negri yg terhormat dengan mengakui/menghargai temuan hebat seperti ini......?,What can respectable state officials gain by acknowledging/appreciating such a great invention......?
61,Muncul lg bae nikuba hahaha..,Bae nikuba appears again hahaha..
62,Setau  ku  nikuba udah ada di tahun   2009,"As far as I know, Nikuba already existed in 2009"
63,"Brin merasa mereka para profesor sedang pak Aryanto hanya lulusan STM , kalah gengsi , itulah pemikiran yang salah ngak mau menghargai orang , kalau profesor bermental tempe ya begitu ngak bisa legowo , lanjutkan pak Aryanto tunjukkan bahwa temuan anda memang bermanfaat buat orang banyak , ngak di hargai di negeri sendiri karena regulasi gpp , nanti kalau sudah booming di dunia teknologi nikuba baru nyesel","Brin feels that they are professors while Mr. Aryanto is only a high school graduate, losing prestige, that's the wrong idea not wanting to respect people, if a professor has a mild mentality then he can't be humbled, continue Mr. Aryanto to show that your findings are indeed useful for many people, not appreciated in their own country because of GPP regulations, later when it's booming in the world of Nikuba technology, you'll just regret it"
64,Di leginitas dlm negri kita belum merdeka sepenuhnya munkin...karena kerjasama yg mengikat itu...jika indonesia mengembangkan nikuba mungkin dpt masalah baru bagi pemerintah...,"In terms of domestic legitimacy, we are not yet fully independent, maybe... because of that binding partnership... if Indonesia develops Nikuba, it might get new problems for the government..."
65,"sy bukan bela pemerintah atau bela penemu Nikuba
sy juga tidak menghina atau melecehkan penemuan ini sy tetep menghormati usaha 
dari semangat pak aryanto misel dg usahanya, 

jadi menurut sy
bahan bakar air sudah dari dulu ada th2 kemarin juga sudah banyak org menemukan cara ini, bukan kali ini aja, ini bukan teknologi baru..
sy bicara secara  fisika ilmiahnya aja..

jadi Nukuba atau bahan bakar air itu tidak sesimple itu,
kalo memang Nikuba bahan bakar air bisa dibuat PASti Negara2 maju sudah menerapkan & diproduksi masal pada mobil2 produksinya..tapi FAKTANYA TIDAK ada mobil dg teknologi bahan bakar air,  KENAPA bahan bakar Air ini gak Bs diterapkan Pada mobil motor diproduksi masal??

JAWABANNYA :
krn membuat AIR jadi energi membutuhkan proses ELEKTROLISIS, 
di dalam air terkandung molekul Hidrogen & O2. yg kemudian dg proses elektrolisis itu memproses hidrogen & O2 jadi bahan bakar, 
JAdi fungsi AKi disini adalah 
untuk proses elektrolisis memisahkan hidrogen & O2 dalam air kemudian dibakar membutuhkan Listrik yg  lumayan sedangkan kelistrikan pada mesin kendaraan 
.jadi intinya kalo memang mau pake bahan bakar air... HARUS siap2 sering ISI AKI...& harus dengan alat2 tambahan di sekitar tanki bensin yg cukup makan tempat, 
JAdi Nikuba ini tenaga mesinnya digerakkan Oleh aki bukan bensin...

JADI NIKUBA MEMANG BISA MERUBAH AIR JADI ENERGI TENAGA MESIN TAPI MEMBUTUHKAN AKI YG SANGAT BESAR JIKA UNTUK PERJALANAN JAUH, 
KESIMPULANNYA TIDAK MENGUNAKAN BENSIN TAPI DENGAN TENAGA AKI, resikonya, AKI jadi sering tekor soak atau rusak, 
Faktanya lebih sulit isi aki daripada ngisi bensin harga Cairan aki & perawatan aki juga ga simple...karena inilah sampe skrg masalah teknologi bahan bakar air ini masih sulit dikembangkan, seperti Telur sama ayam, muter2 
jadi nikuba ini sebenrnya hanya mengganti bahan bakar yg tadinya bensin dirubah ke AKI, 

jadi sama aja..
RUMUS FISIKA, Tidak ada energi yg diciptakan tanpa energi kecuali Mukzizat Tuhan...","I am not defending the government or defending the founders of Nikuba
I also don't insult or belittle this discovery, I still respect the effort
from the enthusiasm of Pak Aryanto Misel with his efforts,

so according to sy
water fuel has been around for a long time yesterday and many people have found this method, not just this time, this is not a new technology..
I'm talking about scientific physics..

so Nukuba or water fuel is not that simple,
if indeed Nikuba water fuel can be made SURE developed countries have implemented & mass produced their production cars..but the FACT is that there are no cars with water fuel technology, WHY can't this water fuel be applied to mass produced motorized cars??

ANSWER:
because turning water into energy requires ELECTROLYSIS,
in water contained Hydrogen & O2 molecules. which then with the electrolysis process processes hydrogen & O2 into fuel,
So the AKi function here is
for the electrolysis process to separate hydrogen & O2 in water and then burn it requires a fair amount of electricity while electricity is used in vehicle engines
.so basically, if you really want to use water fuel... you have to be prepared to fill up the battery often... & you have to use additional equipment around the gas tank which takes up enough space,
So Nikuba's engine power is driven by a battery instead of gasoline...

SO NICUBA CAN CONVERT WATER INTO ENGINE POWER BUT REQUIRES A VERY BIG BATTERY IF FOR LONG TRIPS,
CONCLUSION DOESN'T USE GASOLINE BUT WITH BATTERY POWER, the risk is that AKI is often overdrawn or damaged,
The fact is that it is more difficult to fill the battery than to fill up the gas. The price for battery fluid and battery maintenance is also not simple... because of this, until now the problem of water fuel technology is still difficult to develop, such as eggs and chickens, going around
so actually this nikuba only replaces the fuel that was previously gasoline changed to AKI,

so its the same..
PHYSICS FORMULA, No energy is created without energy except God's Miracle..."
66,"Lempar Rp.10M + Komisi per Unit Produksi, buat buka²an, kan gampang... Kalau masih muter sana  sini, berarti HOAX... Kalau alasan Rp.10M bilang gak cukup, 100% berarti Penemuan'y Berita Bohong ke 1 Dunia I.T. yang memberitakan Nikuba... 😒","Throw in Rp. 10 billion + Commission per Unit of Production, for openings, it's easy... If it's still going around, it's a HOAX... If the reason for Rp. 10 billion says it's not enough, 100% means Discovery's World's 1st Fake News I.T. who preach Nikuba... 😒"
67,"Mines pasti ada neh bahas juga dong minesnya nikuba biar orng tau, jngn anda membuat gaduh seakan2 ne d tolak d negeri, coba lihat minusny apa kelebihanya apa, untuk kendaraan motor dan mobil sprti d Indonesia tu aman kah tidak,","Mines, of course there is one to discuss about the mines of Nikuba so people know, don't make a fuss as if you were rejected in the country, try to see what the minuses are, what are the advantages, for motorbikes and cars like in Indonesia, is it safe or not?"
68,Klo nikuba di terapkan di indonesia mafia bbm ya engga setuju...,"If Nikuba is implemented in Indonesia, the BBM mafia doesn't agree..."
69,"HHO Generator kok dibilang pengganti BBM, secara sains mesin hanya akan bergerak kalau ada hidrogen dan nikuba nyatanya hanya menghasilkan sedikit hidrogen dan kendaraan akan tetap menggunakan BBM. Jadi gini ya Misel, kalau niru produk orang yo gak usah bacot dah ya. Jelas, mesin nikuba diciptakan 2017 tapi kok mirip dengan yang dibikin Joko Energy yang diciptakan 2010 ya?🤣🤣😂","How come the HHO Generator is said to be a substitute for fuel, scientifically the engine will only move if there is hydrogen and nikuba in fact only produces a small amount of hydrogen and the vehicle will still use fuel. So, Misel, if you imitate other people's products, you don't have to talk about it. Obviously, the nikuba machine was created in 2017 but how come it's similar to the one made by Joko Energy which was created in 2010 huh?🤣🤣😂"
70,"Takut disaingin produk pemerintah oleh nikuba takut rugi 😂😂😂😂
Lanjutkan cita²mu pak nikuba Indonesia tidak mengakui tetapi luar negara mengakui keahlian anda
Tetap semangat pak❤
Pak nikuba dibantai habis oleh brin wajar anda jual ke luar negeri....wkwkwk","Fear of being wanted by government products by Nikuba afraid of loss 😂😂😂😂
Continue with your dreams, Mr. Nikuba. Indonesia does not recognize it, but foreign countries recognize your expertise
Keep up the spirit sir❤
Mr. Nikuba was slaughtered by brin, it's only natural for you to sell it abroad....wkwkwk"
