,Text,TextEng
92,"Waktu itu banyak ilmuwan berijazah yang seolah menuduh mikuba itu tidak akan mungkin,...
Sekarang coba panggil lagi ilmuwan yang berijazah untuk membantah kenyataan ini...
TNI sebagai saksi untuk meyakinkan pemerintah tapi tetep aja tidak di akui juga","At that time many qualified scientists seemed to accuse the mikuba of being impossible,...
Now try again calling a qualified scientist to refute this fact...
TNI as a witness to convince the government but still not acknowledged either"
93,KUTUKAN SEMAR UNTUK INDONESIA,THE CURSE OF SEMAR FOR INDONESIA
94,Siapa aja yg mimpin kalo berasal dr partai yang sama ya sama aja..,Who is the leader if they are from the same party?
95,"Media bodoh, padahal faktanya aryanto datang ke italy tidak membawa nikuba, nikuba yang di uji coba itu buatan rumania, aryanto hanya dimintai pendapat. Gak ada itu transaksi harga atau dapet pengakuan dari italy.","The media is stupid, despite the fact that Aryanto came to Italy without bringing Nikuba, the Nikuba being tested was made in Romania, Aryanto was only asked for his opinion. There's no price transaction or recognition from Italy."
96,"Yaelaah pake play victim pak.....

Padahal d italy juga dia nya nolak 😂 setelah diajak jalan2 juga g berujung dgn mbeli karya nya kan ...

Ditawarin brin pake lab nya juga dia nolak .... Kok pake narasi dia didzolimin rezim 😂

Kaya bocil aj ini boomer 😂","Yes, use play victim sir.....

Even though in Italy he also refused 😂 after being asked to go for a walk it didn't end up buying his work right...

Brin was offered to use the lab and he refused... How come he was being abused by the regime using the narrative 😂

Just like a kid, this is a boomer 😂"
97,"Kalau ini berjalan kan mengurangi bisnis BBM di Negri yang pejabatnya ikutan licik seperti pebisnis kelas atas bin mafia, karena mikirnya cuan, bisnis, korup. Punya lembaga yang bernama BRIN cuma nambah daftar lembaga yang mengenaskan dan miris dalam adanya lembaga model begitu.","If this goes on, it will reduce the fuel business in a country where officials follow suit like a high-class businessman bin the mafia, because they think it's money, business, and corruption. Having an institution called BRIN only adds to the list of institutions that are deplorable and sad to have such an institution."
98,Intinya ini orang dan penemuannya mau di plokoto,The point is that people and their discoveries want to be plotted
99,Tolong media kualitasnya di jaga. Tu yang di italia uda di crosscheck belum ?. Jangan overproud,Please maintain the media quality. The one in Italy has already been cross-checked yet? Don't overproud
100,Udahlah jual aja ke Ferrari 😅😅,Just sell it to Ferrari 😅😅
101,Jual aja pak... lebih cuan.... negara kita aja cuman mikirin cuan.... wajar lah rakyat memilih cuan dari pada negaranya,Just sell it sir... it's more money... our country only thinks about money... it's only natural for people to choose money over their country
102,"Secara ekonomi gimana ya Soalnya harga aki cuma  130 rebu doang , kalau dibandingkan harga BBM selalu naik , soalnya gak masalah gonta ganti aki penting hemat, Soalnya orang di bahas secara Fisika terus dah sampai bingung gua 😅😅😅","What about the economy? The problem is that the price of the battery is only 130 thousand, when compared to the price of fuel it always goes up, the problem is that it's not a problem to replace the battery, it's important to save money, because people are being discussed in physics and I'm confused 😅😅😅"
103,"Ha ha ha 

Ternyata disini tempatnya bambang tri jilid ke dua","Ha ha ha

It turns out that this is the place for the second tri volume of Bambang"
104,"Dalam negeri itu kebanyakan koruptur.. 
Percuma buat modalin NIKUBA, Mending Duitnya dimakan sendiri.. 😂😂😂","Most of the people in this country are corrupt..
It's useless to invest in NIKUBA, it's better to eat the money yourself.. 😂😂😂"
105,"Dah ga aneh penemuan sesuatu di indonesia itu lebih di hargai di luar negri daripada di dalam negri , mencibir paling juga","It's not strange that the discovery of something in Indonesia is more appreciated abroad than within the country, the most sneering"
106,apa yg terjadi ada apa indonesia adaapa dengan brin!?!?!?!?!?!?!?!!!!!!!!!????????.........…......,what's going on what's wrong Indonesia what's wrong with brin!?!?!?!?!?!?!?!!!!!!!!!????????.........… ......
107,"Apa cuma saya yang tidak percaya kalau teknologi semacam itu bakal diincar Ferrari? Yakin deh, gak mungkin","Am I the only one who doesn't believe that such technology will be targeted by Ferrari? Sure, it's not possible"
108,tumbuh satu bisa jadi seribu tapi sayangnya satu aja tidak tumbuh bagaimana mau jadi seribu??????????????😊😊😊😊😊😊😊😊😊,growing one can be a thousand but unfortunately one does not grow how do you want to be a thousand????????????????😊😊😊😊😊😊😊😊😊
109,m + m + g + t + l + l = pemerintah wakanda,m + m + g + t + l + l = government of wakanda
110,"Di negara ini percuma pintar. 
Karena negara ini tak boleh maju dan sudah disetting untuk jadi konsumen. 
Jangan kan motor dan elektronik soal beras saja impor.","In this country it's useless to be smart.
Because this country cannot be developed and has been set up to become a consumer.
Don't worry about motorbikes and electronics, just import rice."
111,masalah brin mungkin kalau penemu nya org  luar baru percaya ilmunya betul kapan majunya orang indonesia kalau tidak di beri perhatian yg serius kpd  karya anak bangsa,"brin's problem, maybe if the inventor is an outsider, then he believes his knowledge is correct, when will the Indonesian people advance if they are not given serious attention to the work of the nation's children"
112,Jokowi lebih suka pruduck luar dari pada bikinan anak negri ..,Jokowi prefers outside pruduck to domestic ones..
113,Pak gpp pak sabar aja .krna negeri wakanda itu g akan mau klo rakyatnya pinter ..krna itu menganggu zona nyaman mereka ..,"It's okay, sir, just be patient. Because the country of Wakanda won't want its people to be smart..because it disturbs their comfort zone.."
114,"Haha netizen yang dulu heboh mobil SMK, sekarang pada mencemooh .. dan sejarah akan terulang kembali ...","Haha netizens who used to be excited about SMK cars, are now booing... and history will repeat itself..."
115,"padahal sudah terbukti bisa dipake tanpa BBM.. BUMN PERTAMINA takut tersaingi👇🤣 ga ada yg bisa dikorupsi? dan Mafia koruptornya mulai meng intervensi dan membuat Hoax, membunuh karakter bapak ini..","even though it has been proven that it can be used without fuel.. BUMN PERTAMINA is afraid of being rivaled👇🤣 nothing can be corrupted? and the corrupt Mafia began to intervene and create Hoaxes, killing this father's character.."
116,"mantap pak tegas,… dulu pak habibi dimatikan karyanya dgn berbagai alasan dan kepentingan..
Sekarang nikuba giliran mau diambil orang kalang kabut ajimumpung cari nama, dulu dibilang gak masuk akal..
 Kalo dibilang gak masuk akal semua sain gak masuk akal contoh lampu bisanya ko bisa. Cuma itulah manusia dikasih kelebihan yaitu akal","great, sir, firm,... in the past, Mr. Habibi stopped his work for various reasons and interests..
Now it's Nikuba's turn to be taken by people who are frantically trying to find a name, they used to say that it didn't make sense..
 If you say that it doesn't make sense, all science doesn't make sense, for example, how come a lamp can do it. Only that humans are given the advantage of reason"
117,Pemerintah miskin.. indonesia tidak kurang orang2 jenius.. tp tidak ada apresiasi.. bahkan malah dipenjara kalo sampe memproduksi hasil karyanya.. aneh kan.. apa kerja wakil rakyat kita? dan BRIN apa fungsinya? hanya lembaga tanpa punya karya? makin bodoh aja generasi sekarang..,The government is poor.. Indonesia is not lacking in geniuses.. but there is no appreciation.. they are even jailed if they produce their work.. strange isn't it.. what do our people's representatives do? and what does BRIN do? just an institution without work? the generation is getting stupid now..
118,Kaya pesawat buatan bj habibi,Like the plane made by BJ Habibi
119,"Nikuba ini sudah ada 2010, dan sudah terbukti tidak efisien","Nikuba has existed since 2010, and has proven to be inefficient"
120,"gue ttap bangga ini hasil karya anak bangsa
d banding gue hanya bisa nyiptain kesulitan & kesùsahan sama orang tua gue...mudaha2n d lirik BRIN","I'm still proud that this is the work of the nation's children
compared to me, I can only create difficulties & troubles with my parents...hopefully d BRIN lyrics"
121,Jelas sekali bapa ini pernah disakiti oleh BRIN.,It was clear that this father had been hurt by BRIN.
122,"jika nikuba di buat massall
maka celaah keuntungan akn kecill sdikit celah di buat korups untuk berjamaah

itulah knp bibit anak bangsa yg cerdas2 di anggap merugikan

dn sampe kiamat pun sluruh pejabatmu akan menjajah mu turun temurun","if nikuba is mass produced
then the profit gap will be small, there will be a little gap for corruption to join the congregation

that is why the seeds of the nation's smart children are considered detrimental

and until the end of the world, all your officials will colonize you for generations"
123,"Sudahlah, hentikan pembodohan ini!","Come on, stop this duping!"
124,Itulah negeri konoha😂😂😂,That's the land of Konoha😂😂😂
125,Briiiiinddd tai asu,Briiiiinddd tai asu
