,Text,Label,CaseFolding,TextClean,tokens,normalisasi,stopword
10,"NIKUBA,,,,singkatan dari NiKU BAc*T,,omongmya doang yg gede ke media,,,padahal dalam kenyataanya tdk sesuai fakta,,,katanya ke itali ada tawaran dari piha ferrari,ducati dan cs nya,,,padahal dalam faktanya aryanto ke italali hanya dalam menghadiri kopdar klub otomotif,,jd itu bukan dari pihak ferrari ya,,,,bnyak media online abal2 yg asal bikin judul berita,isinya pembodohan semua,,,,terutama tribun tuh,,cuma nyari viewer ketimbang efek dari berita yg di timbulkan،،,,",netral,"nikuba,,,,singkatan dari niku bac*t,,omongmya doang yg gede ke media,,,padahal dalam kenyataanya tdk sesuai fakta,,,katanya ke itali ada tawaran dari piha ferrari,ducati dan cs nya,,,padahal dalam faktanya aryanto ke italali hanya dalam menghadiri kopdar klub otomotif,,jd itu bukan dari pihak ferrari ya,,,,bnyak media online abal2 yg asal bikin judul berita,isinya pembodohan semua,,,,terutama tribun tuh,,cuma nyari viewer ketimbang efek dari berita yg di timbulkan،،,,",nikubasingkatan dari niku bactomongmya doang yg gede ke mediapadahal dalam kenyataanya tdk sesuai faktakatanya ke itali ada tawaran dari piha ferrariducati dan cs nyapadahal dalam faktanya aryanto ke italali hanya dalam menghadiri kopdar klub otomotifjd itu bukan dari pihak ferrari yabnyak media online abal yg asal bikin judul beritaisinya pembodohan semuaterutama tribun tuhcuma nyari viewer ketimbang efek dari berita yg di timbulkan,"['nikubasingkatan', 'dari', 'niku', 'bactomongmya', 'doang', 'yg', 'gede', 'ke', 'mediapadahal', 'dalam', 'kenyataanya', 'tdk', 'sesuai', 'faktakatanya', 'ke', 'itali', 'ada', 'tawaran', 'dari', 'piha', 'ferrariducati', 'dan', 'cs', 'nyapadahal', 'dalam', 'faktanya', 'aryanto', 'ke', 'italali', 'hanya', 'dalam', 'menghadiri', 'kopdar', 'klub', 'otomotifjd', 'itu', 'bukan', 'dari', 'pihak', 'ferrari', 'yabnyak', 'media', 'online', 'abal', 'yg', 'asal', 'bikin', 'judul', 'beritaisinya', 'pembodohan', 'semuaterutama', 'tribun', 'tuhcuma', 'nyari', 'viewer', 'ketimbang', 'efek', 'dari', 'berita', 'yg', 'di', 'timbulkan']","['nikubasingkatan', 'dari', 'niku', 'bactomongmya', 'doang', 'yang', 'gede', 'ke', 'mediapadahal', 'dalam', 'kenyataanya', 'tidak', 'sesuai', 'faktakatanya', 'ke', 'itali', 'ada', 'tawaran', 'dari', 'piha', 'ferrariducati', 'dan', 'cs', 'nyapadahal', 'dalam', 'faktanya', 'aryanto', 'ke', 'italali', 'hanya', 'dalam', 'menghadiri', 'kopdar', 'klub', 'otomotifjd', 'itu', 'bukan', 'dari', 'pihak', 'ferrari', 'yabnyak', 'media', 'online', 'abal', 'yang', 'asal', 'bikin', 'judul', 'beritaisinya', 'pembodohan', 'semuaterutama', 'tribun', 'tuhcuma', 'nyari', 'viewer', 'ketimbang', 'efek', 'dari', 'berita', 'yang', 'di', 'timbulkan']","['nikubasingkatan', 'niku', 'bactomongmya', 'doang', 'gede', 'mediapadahal', 'kenyataanya', 'sesuai', 'faktakatanya', 'itali', 'tawaran', 'piha', 'ferrariducati', 'cs', 'nyapadahal', 'faktanya', 'aryanto', 'italali', 'menghadiri', 'kopdar', 'klub', 'otomotifjd', 'ferrari', 'yabnyak', 'media', 'online', 'abal', 'judul', 'beritaisinya', 'pembodohan', 'semuaterutama', 'tribun', 'tuhcuma', 'nyari', 'viewer', 'ketimbang', 'efek', 'berita', 'timbulkan']"
11,Rakyat NKRI lebih bangga dg hasil viral daripada berfikir ilmiah.... dia kesana untuk d minta benerin nikuba dari rumania.,positif,rakyat nkri lebih bangga dg hasil viral daripada berfikir ilmiah.... dia kesana untuk d minta benerin nikuba dari rumania.,rakyat nkri lebih bangga dg hasil viral daripada berfikir ilmiah dia kesana untuk  minta benerin nikuba dari rumania,"['rakyat', 'nkri', 'lebih', 'bangga', 'dg', 'hasil', 'viral', 'daripada', 'berfikir', 'ilmiah', 'dia', 'kesana', 'untuk', 'minta', 'benerin', 'nikuba', 'dari', 'rumania']","['rakyat', 'nkri', 'lebih', 'bangga', 'dengan', 'hasil', 'viral', 'daripada', 'berpikir ', 'ilmiah', 'dia', 'kesana', 'untuk', 'minta', 'benerin', 'nikuba', 'dari', 'rumania']","['rakyat', 'nkri', 'bangga', 'hasil', 'viral', 'berpikir ', 'ilmiah', 'kesana', 'benerin', 'nikuba', 'rumania']"
12,Rancangan mobil hydrogen Korea pake alat hydrogen.saya baca di koran otomotif..tapi belum berhasil..ini sudah berhasil duluan nikuba..tinggal tahap tahap penyempurnaan.,netral,rancangan mobil hydrogen korea pake alat hydrogen.saya baca di koran otomotif..tapi belum berhasil..ini sudah berhasil duluan nikuba..tinggal tahap tahap penyempurnaan.,rancangan mobil hydrogen korea pake alat hydrogensaya baca di koran otomotiftapi belum berhasilini sudah berhasil duluan nikubatinggal tahap tahap penyempurnaan,"['rancangan', 'mobil', 'hydrogen', 'korea', 'pake', 'alat', 'hydrogensaya', 'baca', 'di', 'koran', 'otomotiftapi', 'belum', 'berhasilini', 'sudah', 'berhasil', 'duluan', 'nikubatinggal', 'tahap', 'tahap', 'penyempurnaan']","['rancangan', 'mobil', 'hydrogen', 'korea', 'pakai', 'alat', 'hydrogensaya', 'baca', 'di', 'koran', 'otomotiftapi', 'belum', 'berhasilini', 'sudah', 'berhasil', 'duluan', 'nikubatinggal', 'tahap', 'tahap', 'penyempurnaan']","['rancangan', 'mobil', 'hydrogen', 'korea', 'pakai', 'alat', 'hydrogensaya', 'baca', 'koran', 'otomotiftapi', 'berhasilini', 'berhasil', 'duluan', 'nikubatinggal', 'tahap', 'tahap', 'penyempurnaan']"
13,Nikuba tolol,negatif,nikuba tolol,nikuba tolol,"['nikuba', 'tolol']","['nikuba', 'tolol']","['nikuba', 'tolol']"
14,"Dari komen""nya terlihat, memang SDM kita masih rendah
minim literasi, minim ilmu

Semoga banyak yang tercerahkan kalau nikuba ini tidak sehebat yang diklaim saat ini

Media juga terlalu bombastis
Anak"" sains tertawa melihat ini",positif,"dari komen""nya terlihat, memang sdm kita masih rendah
minim literasi, minim ilmu

semoga banyak yang tercerahkan kalau nikuba ini tidak sehebat yang diklaim saat ini

media juga terlalu bombastis
anak"" sains tertawa melihat ini",dari komennya terlihat memang sdm kita masih rendah minim literasi minim ilmu semoga banyak yang tercerahkan kalau nikuba ini tidak sehebat yang diklaim saat ini media juga terlalu bombastis anak sains tertawa melihat ini,"['dari', 'komennya', 'terlihat', 'memang', 'sdm', 'kita', 'masih', 'rendah', 'minim', 'literasi', 'minim', 'ilmu', 'semoga', 'banyak', 'yang', 'tercerahkan', 'kalau', 'nikuba', 'ini', 'tidak', 'sehebat', 'yang', 'diklaim', 'saat', 'ini', 'media', 'juga', 'terlalu', 'bombastis', 'anak', 'sains', 'tertawa', 'melihat', 'ini']","['dari', 'komennya', 'terlihat', 'memang', 'sdm', 'kita', 'masih', 'rendah', 'minim', 'literasi', 'minim', 'ilmu', 'semoga', 'banyak', 'yang', 'tercerahkan', 'kalau', 'nikuba', 'ini', 'tidak', 'sehebat', 'yang', 'diklaim', 'saat', 'ini', 'media', 'juga', 'terlalu', 'bombastis', 'anak', 'sains', 'tertawa', 'melihat', 'ini']","['komennya', 'sdm', 'rendah', 'minim', 'literasi', 'minim', 'ilmu', 'semoga', 'tercerahkan', 'nikuba', 'sehebat', 'diklaim', 'media', 'bombastis', 'anak', 'sains', 'tertawa']"
15,Seharusnya penemu nikuba ini jd ketua BRIN soalnya risetnya menghasilkan sesuatu ini malah ketua BRIN diberikan kpd ketua umum partai apa yg mau dihasilkan,positif,seharusnya penemu nikuba ini jd ketua brin soalnya risetnya menghasilkan sesuatu ini malah ketua brin diberikan kpd ketua umum partai apa yg mau dihasilkan,seharusnya penemu nikuba ini jd ketua brin soalnya risetnya menghasilkan sesuatu ini malah ketua brin diberikan kpd ketua umum partai apa yg mau dihasilkan,"['seharusnya', 'penemu', 'nikuba', 'ini', 'jd', 'ketua', 'brin', 'soalnya', 'risetnya', 'menghasilkan', 'sesuatu', 'ini', 'malah', 'ketua', 'brin', 'diberikan', 'kpd', 'ketua', 'umum', 'partai', 'apa', 'yg', 'mau', 'dihasilkan']","['seharusnya', 'penemu', 'nikuba', 'ini', 'jadi', 'ketua', 'brin', 'soalnya', 'risetnya', 'menghasilkan', 'sesuatu', 'ini', 'malah', 'ketua', 'brin', 'diberikan', 'kpd', 'ketua', 'umum', 'partai', 'apa', 'yang', 'mau', 'dihasilkan']","['penemu', 'nikuba', 'ketua', 'brin', 'risetnya', 'menghasilkan', 'ketua', 'brin', 'kpd', 'ketua', 'partai', 'dihasilkan']"
16,Yang jelas kalau nikuba direspon maka mafia minyak akan tidur di kolong jembatan,positif,yang jelas kalau nikuba direspon maka mafia minyak akan tidur di kolong jembatan,yang jelas kalau nikuba direspon maka mafia minyak akan tidur di kolong jembatan,"['yang', 'jelas', 'kalau', 'nikuba', 'direspon', 'maka', 'mafia', 'minyak', 'akan', 'tidur', 'di', 'kolong', 'jembatan']","['yang', 'jelas', 'kalau', 'nikuba', 'direspon', 'maka', 'mafia', 'minyak', 'akan', 'tidur', 'di', 'kolong', 'jembatan']","['nikuba', 'direspon', 'mafia', 'minyak', 'tidur', 'kolong', 'jembatan']"
17,"Hanya kodam siliwangi yang mengerti, ingat KODAM SILIWANGI  YANG MENGERTI NIKUBA !!!!!!👍👍👍🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨",netral,"hanya kodam siliwangi yang mengerti, ingat kodam siliwangi  yang mengerti nikuba !!!!!!👍👍👍🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨",hanya kodam siliwangi yang mengerti ingat kodam siliwangi yang mengerti nikuba,"['hanya', 'kodam', 'siliwangi', 'yang', 'mengerti', 'ingat', 'kodam', 'siliwangi', 'yang', 'mengerti', 'nikuba']","['hanya', 'kodam', 'siliwangi', 'yang', 'mengerti', 'ingat', 'kodam', 'siliwangi', 'yang', 'mengerti', 'nikuba']","['kodam', 'siliwangi', 'mengerti', 'kodam', 'siliwangi', 'mengerti', 'nikuba']"
18,Bukan rakyat Indonesia menolak nikuba seharusnya dengan BBM naik nikuba harus di pamerkan dengan jalan jalan tanpa BBM supaya rakyat Indonesia percaya,negatif,bukan rakyat indonesia menolak nikuba seharusnya dengan bbm naik nikuba harus di pamerkan dengan jalan jalan tanpa bbm supaya rakyat indonesia percaya,bukan rakyat indonesia menolak nikuba seharusnya dengan bbm naik nikuba harus di pamerkan dengan jalan jalan tanpa bbm supaya rakyat indonesia percaya,"['bukan', 'rakyat', 'indonesia', 'menolak', 'nikuba', 'seharusnya', 'dengan', 'bbm', 'naik', 'nikuba', 'harus', 'di', 'pamerkan', 'dengan', 'jalan', 'jalan', 'tanpa', 'bbm', 'supaya', 'rakyat', 'indonesia', 'percaya']","['bukan', 'rakyat', 'indonesia', 'menolak', 'nikuba', 'seharusnya', 'dengan', 'bbm', 'naik', 'nikuba', 'harus', 'di', 'pamerkan', 'dengan', 'jalan', 'jalan', 'tanpa', 'bbm', 'supaya', 'rakyat', 'indonesia', 'percaya']","['rakyat', 'indonesia', 'menolak', 'nikuba', 'bbm', 'nikuba', 'pamerkan', 'jalan', 'jalan', 'bbm', 'rakyat', 'indonesia', 'percaya']"
19,yang paham fisika pasti gak bakal percaya dg klaim2 nikuba,positif,yang paham fisika pasti gak bakal percaya dg klaim2 nikuba,yang paham fisika pasti gak bakal percaya dg klaim nikuba,"['yang', 'paham', 'fisika', 'pasti', 'gak', 'bakal', 'percaya', 'dg', 'klaim', 'nikuba']","['yang', 'paham', 'fisika', 'pasti', 'tidak', 'bakal', 'percaya', 'dengan', 'klaim', 'nikuba']","['paham', 'fisika', 'percaya', 'klaim', 'nikuba']"
20,Suatu saat penemuan Bpk Aryanto akan mendunia....,netral,suatu saat penemuan bpk aryanto akan mendunia....,suatu saat penemuan bpk aryanto akan mendunia,"['suatu', 'saat', 'penemuan', 'bpk', 'aryanto', 'akan', 'mendunia']","['suatu', 'saat', 'penemuan', 'bpk', 'aryanto', 'akan', 'mendunia']","['penemuan', 'bpk', 'aryanto', 'mendunia']"
21,"Udah di jelasin sederhana tp masih bego
Si paling nikuba😅😅😅",negatif,"udah di jelasin sederhana tp masih bego
si paling nikuba😅😅😅",udah di jelasin sederhana tp masih bego si paling nikuba,"['udah', 'di', 'jelasin', 'sederhana', 'tp', 'masih', 'bego', 'si', 'paling', 'nikuba']","['sudah', 'di', 'jelasin', 'sederhana', 'tetapi', 'masih', 'bego', 'si', 'paling', 'nikuba']","['jelasin', 'sederhana', 'bego', 'nikuba']"
22,Sayang sekali karya anak bangsa byk yg tdk dihargai dinegeri sendiri karena lembaga² yg meremehkan,negatif,sayang sekali karya anak bangsa byk yg tdk dihargai dinegeri sendiri karena lembaga² yg meremehkan,sayang sekali karya anak bangsa byk yg tdk dihargai dinegeri sendiri karena lembaga yg meremehkan,"['sayang', 'sekali', 'karya', 'anak', 'bangsa', 'byk', 'yg', 'tdk', 'dihargai', 'dinegeri', 'sendiri', 'karena', 'lembaga', 'yg', 'meremehkan']","['sayang', 'sekali', 'karya', 'anak', 'bangsa', 'banyak', 'yang', 'tidak', 'dihargai', 'dinegeri', 'sendiri', 'karena', 'lembaga', 'yang', 'meremehkan']","['sayang', 'karya', 'anak', 'bangsa', 'dihargai', 'dinegeri', 'lembaga', 'meremehkan']"
23,"Sains itu selalu berkembang, meski gak masuk akal janganlah menolak mentah2 apalagi mencibir. Mungkin ilmu anda belum nyampe. Gitu aja. 
Jika orang pintar Harusnya lebih terbuka dgn  inovasi baru, jangan hanya terpaku pada rumus enstein atau hawking yang ada di masa lalu, apakah orang-orang pintar hanya ada pada masa lampau????",positif,"sains itu selalu berkembang, meski gak masuk akal janganlah menolak mentah2 apalagi mencibir. mungkin ilmu anda belum nyampe. gitu aja. 
jika orang pintar harusnya lebih terbuka dgn  inovasi baru, jangan hanya terpaku pada rumus enstein atau hawking yang ada di masa lalu, apakah orang-orang pintar hanya ada pada masa lampau????",sains itu selalu berkembang meski gak masuk akal janganlah menolak mentah apalagi mencibir mungkin ilmu anda belum nyampe gitu aja jika orang pintar harusnya lebih terbuka dgn inovasi baru jangan hanya terpaku pada rumus enstein atau hawking yang ada di masa lalu apakah orangorang pintar hanya ada pada masa lampau,"['sains', 'itu', 'selalu', 'berkembang', 'meski', 'gak', 'masuk', 'akal', 'janganlah', 'menolak', 'mentah', 'apalagi', 'mencibir', 'mungkin', 'ilmu', 'anda', 'belum', 'nyampe', 'gitu', 'aja', 'jika', 'orang', 'pintar', 'harusnya', 'lebih', 'terbuka', 'dgn', 'inovasi', 'baru', 'jangan', 'hanya', 'terpaku', 'pada', 'rumus', 'enstein', 'atau', 'hawking', 'yang', 'ada', 'di', 'masa', 'lalu', 'apakah', 'orangorang', 'pintar', 'hanya', 'ada', 'pada', 'masa', 'lampau']","['sains', 'itu', 'selalu', 'berkembang', 'meski', 'tidak', 'masuk', 'akal', 'janganlah', 'menolak', 'mentah', 'apalagi', 'mencibir', 'mungkin', 'ilmu', 'anda', 'belum', 'nyampe', 'begitu', 'saja', 'jika', 'orang', 'pintar', 'harusnya', 'lebih', 'terbuka', 'dgn', 'inovasi', 'baru', 'jangan', 'hanya', 'terpaku', 'pada', 'rumus', 'enstein', 'atau', 'hawking', 'yang', 'ada', 'di', 'masa', 'lalu', 'apakah', 'orangorang', 'pintar', 'hanya', 'ada', 'pada', 'masa', 'lampau']","['sains', 'berkembang', 'masuk', 'akal', 'menolak', 'mentah', 'mencibir', 'ilmu', 'nyampe', 'orang', 'pintar', 'terbuka', 'inovasi', 'terpaku', 'rumus', 'enstein', 'hawking', 'orangorang', 'pintar', 'lampau']"
24,"Media bodoh, padahal faktanya aryanto datang ke italy tidak membawa nikuba, nikuba yang di uji coba itu buatan rumania, aryanto hanya dimintai pendapat. Gak ada itu transaksi harga atau dapet pengakuan dari italy.",negatif,"media bodoh, padahal faktanya aryanto datang ke italy tidak membawa nikuba, nikuba yang di uji coba itu buatan rumania, aryanto hanya dimintai pendapat. gak ada itu transaksi harga atau dapet pengakuan dari italy.",media bodoh padahal faktanya aryanto datang ke italy tidak membawa nikuba nikuba yang di uji coba itu buatan rumania aryanto hanya dimintai pendapat gak ada itu transaksi harga atau dapet pengakuan dari italy,"['media', 'bodoh', 'padahal', 'faktanya', 'aryanto', 'datang', 'ke', 'italy', 'tidak', 'membawa', 'nikuba', 'nikuba', 'yang', 'di', 'uji', 'coba', 'itu', 'buatan', 'rumania', 'aryanto', 'hanya', 'dimintai', 'pendapat', 'gak', 'ada', 'itu', 'transaksi', 'harga', 'atau', 'dapet', 'pengakuan', 'dari', 'italy']","['media', 'bodoh', 'padahal', 'faktanya', 'aryanto', 'datang', 'ke', 'italy', 'tidak', 'membawa', 'nikuba', 'nikuba', 'yang', 'di', 'uji', 'coba', 'itu', 'buatan', 'rumania', 'aryanto', 'hanya', 'dimintai', 'pendapat', 'tidak', 'ada', 'itu', 'transaksi', 'harga', 'atau', 'dapet', 'pengakuan', 'dari', 'italy']","['media', 'bodoh', 'faktanya', 'aryanto', 'italy', 'membawa', 'nikuba', 'nikuba', 'uji', 'coba', 'buatan', 'rumania', 'aryanto', 'pendapat', 'transaksi', 'harga', 'dapet', 'pengakuan', 'italy']"
25,"Dalam negeri itu kebanyakan koruptur.. 
Percuma buat modalin NIKUBA, Mending Duitnya dimakan sendiri.. 😂😂😂",netral,"dalam negeri itu kebanyakan koruptur.. 
percuma buat modalin nikuba, mending duitnya dimakan sendiri.. 😂😂😂",dalam negeri itu kebanyakan koruptur percuma buat modalin nikuba mending duitnya dimakan sendiri,"['dalam', 'negeri', 'itu', 'kebanyakan', 'koruptur', 'percuma', 'buat', 'modalin', 'nikuba', 'mending', 'duitnya', 'dimakan', 'sendiri']","['dalam', 'negeri', 'itu', 'kebanyakan', 'koruptur', 'percuma', 'buat', 'modalin', 'nikuba', 'mending', 'duitnya', 'dimakan', 'sendiri']","['negeri', 'kebanyakan', 'koruptur', 'modalin', 'nikuba', 'mending', 'duitnya', 'dimakan']"
