Text,Label
"Bukannya gimana-gimana ya. Terus terang gw sanksi sama nikuba. Biar bagaimana pun elektrolisis itu ga efesien. Kasarnya daripada buang energi buat mengelektrolisis air lebih baik energinya langsung dipakai buat menggerakkan motor. Tapi terlepas dari efesien atau ga, tentunya perlu desain teknis untuk melakukan elektrolisis dalam skala kecil ini. Harusnya bapak ini bisa mematenkan dulu desain yang beliau bikin sehingga ga perlu khawatir karyanya dicontek orang.",positif
"Negri ini pasti menolak nikuba,,,, kalau nikuba di akuii tuh pertamina gk laku di negri ini🤣🤣🤣,,,,,, ya  inilah indonesiaku",negatif
"Arogansi BRIN sbg lembaga para pakar/ahli terhadap temuan/inovasi yg datang dari kalangan non-akademisi memang menunjukkan keangkuhan dunia akademik, experiment Nikuba bila nyata nyata terbukti bermanfaat maka akan membuat pakar BRIN menjadi ""katak dalam tempurung""...siapa jago ngecap dan tak bermanfaat....wuih, uang negara habis untuk mereka saja, enak sendiri seperti ""masturbasi""..??",positif
"BUMN DAH BANGKRUT. 
KALO NIKUBA DI BUAT MASSAL...
APA YG AKAN TERJADI SAMA PENJABAT BUMN PERTAMINA.INI.
MAKA NIKUBA SULIT TEMBUS",negatif
"Takut ada yg bangkrut klw pake nikuba.,.",negatif
"Nikuba aja dibantai...
Apa lagi stadion JIS...
😱😱😱",netral
Emangnya Barat bikin seperti itu gak bisa? Hingga tertarik produk nikuba?! Secara teknologi mereka lebih mumpuni. Tetap saja sampai skrg mereka pakai minyak. 😁😁😁 Mau ketawa takut dihujat 😁😁😁,positif
"Nikuba laku,,,,yg pasti mafia BBM ketar ketir kehilangan CUAn nya,,, 
Bayangin saja 1 liter bensin bs dirubah dg jarak 200km,,, luar biasa",negatif
Semoga nikuba diterima ferari...kita amati saja jgn sampek kejadiannya sama seperti jaman SBY.,positif
"Jangan dijual ke uni eropa, pak.lebih baik diajukan ke pemerintah untuk dikembangkan agar dapat diproduksi mesin NIKUBA yang menggunakan bahan bakar air.",positif
Bilang aja takut bangkrut klo nikuba muncul,negatif
"Mohon di cermati baik2, lihat pengakuakuan beliau terbaru. Di italia tidak tertarik membeli proyek nikuba, hanya disuruh presentasi dan ilmu nya akan diambil tanpa dibayar sepeserpun. Jadi netizen yg koar2 jangan bangga dulu menyalahkan pemerintah,.emang butuh penelitian ilmiah lebih lanjut.",negatif
"Mungkin bapak penemu nikuba ini tamatan sekolah setara SMA 
makanya di tolak",negatif
Mungkin dari pihak pertamina  yg takut  jika  nikuba jadi diproduksi,netral
"Asli benar2 mentah hati bapak penemu nikuba ini ketika d tanya presenter, apa harapan bapak kepada pemerintah dan Brin untuk meningkatkan Nikuba ini,pak misel jawab dengan lantang ""wah saya tak butuh mereka pak, saya sudah d nantai habis"" lugasnya 😢
Pobroknya rezim sekarang sampai gedung DPR saja dalam penelusuran Google kandang tikus😂
Pejabat sekarang kebanyakan petugas partai, bukan petugas Rakyat,",positif
"Saya kubu yang tidak percaya nikuba, yg tidak setuju silahkan hujat saya",negatif
Apa yg bisa didapatkan para pejabat negri yg terhormat dengan mengakui/menghargai temuan hebat seperti ini......?,positif
Muncul lg bae nikuba hahaha..,netral
Setau  ku  nikuba udah ada di tahun   2009,netral
"Brin merasa mereka para profesor sedang pak Aryanto hanya lulusan STM , kalah gengsi , itulah pemikiran yang salah ngak mau menghargai orang , kalau profesor bermental tempe ya begitu ngak bisa legowo , lanjutkan pak Aryanto tunjukkan bahwa temuan anda memang bermanfaat buat orang banyak , ngak di hargai di negeri sendiri karena regulasi gpp , nanti kalau sudah booming di dunia teknologi nikuba baru nyesel",negatif
Di leginitas dlm negri kita belum merdeka sepenuhnya munkin...karena kerjasama yg mengikat itu...jika indonesia mengembangkan nikuba mungkin dpt masalah baru bagi pemerintah...,negatif
"sy bukan bela pemerintah atau bela penemu Nikuba
sy juga tidak menghina atau melecehkan penemuan ini sy tetep menghormati usaha 
dari semangat pak aryanto misel dg usahanya, 

jadi menurut sy
bahan bakar air sudah dari dulu ada th2 kemarin juga sudah banyak org menemukan cara ini, bukan kali ini aja, ini bukan teknologi baru..
sy bicara secara  fisika ilmiahnya aja..

jadi Nukuba atau bahan bakar air itu tidak sesimple itu,
kalo memang Nikuba bahan bakar air bisa dibuat PASti Negara2 maju sudah menerapkan & diproduksi masal pada mobil2 produksinya..tapi FAKTANYA TIDAK ada mobil dg teknologi bahan bakar air,  KENAPA bahan bakar Air ini gak Bs diterapkan Pada mobil motor diproduksi masal??

JAWABANNYA :
krn membuat AIR jadi energi membutuhkan proses ELEKTROLISIS, 
di dalam air terkandung molekul Hidrogen & O2. yg kemudian dg proses elektrolisis itu memproses hidrogen & O2 jadi bahan bakar, 
JAdi fungsi AKi disini adalah 
untuk proses elektrolisis memisahkan hidrogen & O2 dalam air kemudian dibakar membutuhkan Listrik yg  lumayan sedangkan kelistrikan pada mesin kendaraan 
.jadi intinya kalo memang mau pake bahan bakar air... HARUS siap2 sering ISI AKI...& harus dengan alat2 tambahan di sekitar tanki bensin yg cukup makan tempat, 
JAdi Nikuba ini tenaga mesinnya digerakkan Oleh aki bukan bensin...

JADI NIKUBA MEMANG BISA MERUBAH AIR JADI ENERGI TENAGA MESIN TAPI MEMBUTUHKAN AKI YG SANGAT BESAR JIKA UNTUK PERJALANAN JAUH, 
KESIMPULANNYA TIDAK MENGUNAKAN BENSIN TAPI DENGAN TENAGA AKI, resikonya, AKI jadi sering tekor soak atau rusak, 
Faktanya lebih sulit isi aki daripada ngisi bensin harga Cairan aki & perawatan aki juga ga simple...karena inilah sampe skrg masalah teknologi bahan bakar air ini masih sulit dikembangkan, seperti Telur sama ayam, muter2 
jadi nikuba ini sebenrnya hanya mengganti bahan bakar yg tadinya bensin dirubah ke AKI, 

jadi sama aja..
RUMUS FISIKA, Tidak ada energi yg diciptakan tanpa energi kecuali Mukzizat Tuhan...",negatif
"Lempar Rp.10M + Komisi per Unit Produksi, buat buka²an, kan gampang... Kalau masih muter sana  sini, berarti HOAX... Kalau alasan Rp.10M bilang gak cukup, 100% berarti Penemuan'y Berita Bohong ke 1 Dunia I.T. yang memberitakan Nikuba... 😒",negatif
"Mines pasti ada neh bahas juga dong minesnya nikuba biar orng tau, jngn anda membuat gaduh seakan2 ne d tolak d negeri, coba lihat minusny apa kelebihanya apa, untuk kendaraan motor dan mobil sprti d Indonesia tu aman kah tidak,",positif
Klo nikuba di terapkan di indonesia mafia bbm ya engga setuju...,netral
"HHO Generator kok dibilang pengganti BBM, secara sains mesin hanya akan bergerak kalau ada hidrogen dan nikuba nyatanya hanya menghasilkan sedikit hidrogen dan kendaraan akan tetap menggunakan BBM. Jadi gini ya Misel, kalau niru produk orang yo gak usah bacot dah ya. Jelas, mesin nikuba diciptakan 2017 tapi kok mirip dengan yang dibikin Joko Energy yang diciptakan 2010 ya?🤣🤣😂",positif
"Takut disaingin produk pemerintah oleh nikuba takut rugi 😂😂😂😂
Lanjutkan cita²mu pak nikuba Indonesia tidak mengakui tetapi luar negara mengakui keahlian anda
Tetap semangat pak❤
Pak nikuba dibantai habis oleh brin wajar anda jual ke luar negeri....wkwkwk",positif
"Berita terkini,pembuat nikuba ini sekarang menyesal telah melakukan perjalanan ke Italia, karena di sana tidak ada kejelasan tentang nikuba ini dan media di Indonesia tidak memberitakan secara lengkap hanya setengah setengah, sehingga terjadi mis informasi di masyarakat ,
Ujung ujungnya masyarakat semakin tidak percaya dengan pemerintah Indonesia.",negatif
"Yang terjadi di Indonesia adalah, Nikuba memang penemuan baru dan bagus untuk teknologi di masa depan. Mungkin di Indonesia belum ada teknologi yang mampu menerapkan nikuba dalam industri otomotif karena ini bisa dikatakan sumber energi yang baru ditemukan",positif
Nikuba digoreng saja terus menjelang pemilu.,netral
Preett nikuba . Banyak hoax nya,netral
Tidak ada yg salah bila Indonesia belum tertarik pada teknologi nikuba saat ini. Mari kita berpikir dgn jernih. Bagi nitizen yg tidak memahami cara kerja nikuba ga usah banyak bacot dan sok nasionalis. Pahami dulu cara kerjanya dgn jelas baru komen.,positif
Ada yg takut bangkrut karena teknologi nikuba,negatif
"BUKAN CUMA UPIN IPIN , skarang NIKUBA yg di hargai  negara lain.

ngapain BRIN ikut Hadir, hahahahaahah....???????????",positif
Seharus nya Brin itu mendukung bukan meragukan penemuan.nikuba sebuah teknologi yg lompatan bagus.bukan saling menjatuh kan.,positif
"klo penemuan ini hoax kenapa pangdam ingin menambah permintaan produk dri nikuba ?
bukankah 30 produk pertama sudah di uji di 30 unit kendaraan kodam siliwangi ?
dan denger2 pangdam menambah 20 unit. klo ini sudah pasti ga masuk akal, kenapa orang itali masih aja buang2 waktu dtang kesini ? dan repot undang ke milan ? apakah bangsa mereka lebih bodoh dari bangsa kita ? klo brin bilang teknologi ini tidak mungkin, kenapa ga ambil aja 1 unit motor yg dipakai kodam siliwangi buat pembuktian. dokumentasikan agar masyarakat awam tau, jangan plonga plongo kek org linglung yg g tau harus ngapain. walaupun penemuan ini di indonesia sudah ada yg buat 12 tahun yg lalu lebih dlu tapi tidak se efisien nikuba, berharap pak arianto bisa menyempurnakan.",positif
"Air jd BBM itu sangat mustahil... 
Pemerintah bertanggungjawab untuk mengklarifikasikan masalah ini.. 
Jangan sampai ada korban penipuan atas nikuba ini.",negatif
"BRIN: blm bisa dibuktikan secara ilmiah,
BRIN: badan riset dan inovasi nasional
Kenapa ga brin nya sendiri aja yg membuat inovasi nikuba ini sehingga bisa terbukti secara ilmiah  yah",positif
"Teknologi gituan udah ada dari tahun 60 han,
Kalo nyata nya work, pasti banyak perusahaan antri nggak usah Ferrari alatu Lamborghini,

Pak misel datang deh ke Toyota dan kawan kawan, nggak usah libatkan pemerintah,

Toh ada juga perusahaan yg buat nikuba contoh nya seperti PT. Joko energi. Coba search sendiri kalo nggak percaya

Metro jangan bodohin masyarakat deh.",positif
"Sedih banget, media nge goreng ilmu pengetahuan buat nyari animo kemarahan rakyat akan pemerintah. Masih inget ga dulu tahun 2010 pemerintah Indonesia di ""bodohi"" Oleh blue energy yang konsep nya sama persis kayak nikuba ini.  Hasil nya mana?. Media tau rakyat Indonesia itu minim literasi, padahal tinggal baca tentang hukum kekekalan energi kalau energi itu ga bisa muncul dari ketiadaan.. Output energi ga akan lebih besar dari input. Satu juta persen ga akan ada  mesin yang pake bahan bakar air. Elektrolisis hasil akhirnya adalah hidrogen, kenapa mesti repot repot ubah air jadi hidrogen? Kenapa ga dari bahan lain yang lebih kaya akan hidrogen?  Bapak halu satu ini kayaknya emang kesel sama pemerintahan Indonesia yang bobrok... Emang pemerintahan kita bobrok tapi berbohong itu dosa. Dear pak surya paloh, politik itu emang manis tapi jangan jual pengetahuan buat jadi bahan politik.",negatif
Kolaborasi nikuba dengan motor listrik,netral
"Kendaraan listrik sudah ada, sekarang penemuan nikuba dari indonesia yaitu Bapak misel. Harusnya dirangkul pemerintah indonesia, jangan sampai dirangkul negara lain",positif
"Gasss terus @METRO TV. Jangan kasih kendor buat naikin terus nama Nikuba supaya BRIN & Presiden Jokowi nanti bisa kena prank sama penemuan Nikuba, terus dihujat deh sama netizen dan rakyat se-Indonesia raya. Terima kasih telah mengangkat berita ini terus sehingga kita bisa terlatih jadi bangsa overproud dan mudah dibodohi media.",negatif
"Indonesia bwrgantung kepada sumber jualan BBM pertamina sebagai sumber dana untuk negara..jika air bisa digantikan BBM,negara indonesia bisa rugi triliunan..juga royalti dari jualan BBM di gunakan oleh pemerintah sebagai uang kantong..bayangkan kerugian pemerintah jika air menjadi bahan bakar selain BBM.. Mereka yang pertama merasakan cemas jika BBM itu sudah tidak berguna lagi? Mereka akan menentang habisan idea Nikuba.. sumber ekonomi indonesia juga terbesar tergantung kepada jualan ekspor dan BBM tempatan..",negatif
Pasti bos... Bos. Tambang minyak. Pada takut bangkrut. Bahan bakar minyak nggak laku. Karena adanya Nikuba.,negatif
Wkwk yakin? Perasaan modelan nikuba  gini mah udah ada dimana2. Yakin beneran di undang ferrari ducati dll?,positif
Jujur klo gua banyak duit gua beli/kontrak tuh nikuba . Mending bubarkan lembaga lembaga yang tak jelas ada sumbangsi nya bagi masyarakat.😂😂,positif
"Penemuan super nikuba pak.arianto,harusna negara turun dan kembangkan jangan sampe negara laen yg mematenkan..luar biasa air di ubah jadi hidrogen,air jadi pengganti bahan bakar.",positif
Cumak mafia migas yg nolak NIKUBA gk mungkin lah pemerintah nolak.,negatif
Pemerintah gak ad yg menghargai klu TNI menghargai karya ank bangsa ...dngn d panggilny nikuba k milan ad orang2 yg mau memanffatknny...lucu dngn rezim in...,positif
Rusia ketar ketir bakal menghalang2in dgn suap2 agar nikuba tidak lolos ke eropa. Akibat minyak rusia di blokir akibat perang ukraina vs rusia.,negatif
Nikola Tesla saja nisa BIKIN dan bangun tower listrik gratis tapi di hancurkan para kapital karena tidak menguntungkan mereka mereka tidak produksi massal untuk keuntungan kapital. Org brin paling loby2 buat gini gitu intinya nikuba jangan ada yg minat dengan alasan ilmiah,negatif
"Knapa brin bilang begitu???
Jawabanya adalah karna bila nikuba di kembngkan di indonesia orang2 bakalan memakai nikuba
Dan pertmbngan minyak bumi aka tidak ad lg sehingga orang yg korupsi untuk minyak bakalan merugi
Jadi inti ny tidak ad keuntungan jangka panjang buat kantong sendiri bila nikuba di kembngkan itu maksudny
Karna pemerintah indonesia yg berkembng cuman kriminal dan korupsi cman itu aja",negatif
Nikuba ini sudah sering dipakai tni dibbrp motornya .dana menhamkam kan 170 triliyun ..nikuba minta 15 milyard saja .beli aja utk rakyat dan utk ketahanan rakyat,positif
Bisa rugi besar pertamina kalau nikuba diterima....😅😅,negatif
Yg bermasalah itu BRIN awalnya meremehkan karya anak bangsa.    Kini malah ikut campur urusan NIKUBA.,negatif
"Pas penemu nikuba di dalam negeri,  orang dalam kita acuh tak acuh terhadap penemuan nya, akhirnya orang luar yang datang langsung dan mengajak meeting diluar sana.
Giliran orang luar ajak penemu nya ke negaranya, orang dalam kita tiba"" nyempil ke eropa juga seolah-olah ingin diakui juga, ketahuan banget pingin numpang nama jika penemuan nya berhasil",positif
"Anggota tni bisa se tolol itu percaya nikuba . Baca  google joko suprapto tipu presiden sby , mei 2007 . Di vonis 3.5thn ,",negatif
Semuan percaya nikuba tolol tremasuk  oknum tni,negatif
Di Indonesia banyak orang pintar sudah di teliti nikuba ini jdi blm bisa di patenkan,positif
"Jika Eropa bisa mengembangkan Nikuba, Mobil Motornya dijual di Indonesia buat ngasih pelajaran orang Indo btapa berharganya penemuan ini 😂",positif
Yg saya sayangkan nitizen indo   99%  se TOLOL  itu percaya penipu yg namanya  nikuba,negatif
Prinsip kerja nikuba  HHO  sdh ribuan x di bahas di youtube 10 thn yg lalu  dan benar .    Cuma U buat air    nikuba setara   1 liter bensin  perlu biaya/ energi  rp 100.000 . Inilah penipuannya,positif
Nikuba 100% penipuan . Di itali pasti di tertawakan . Ingat joko suprapto  tipu presiden sby mei 2007 .  Joko di vonis 3.5thn tipu lg ums,negatif
semoga bapak penemu NIKUBA diberi kesehatan dan panjang umur...biasanya nanti kalo adh dikembangkan di luar negeri..gk lama kemuadian di exsport ke indonesia..pdhl asal mulanya dr indonesia🤦,positif
"Simpelnya nikuba itu memecah hidrogen dan oksigen dalam air (H₂O) menggunakan energi listrik, proses ini disebut elektrolisis. Nah, kemudian hidrogen hasil elektrolisis tersebut digunakan sebagai bahan bakar. simpelnya seperti itu

Terus yang diperdebatkan apa?

Begini, H₂O (air) itu kan salah satu senyawa paling stabil di alam semesta, sangat tidak reaktif, makanya air itu tidak bisa dibakar karena saking stabilnya. Karena sifatnya yang sangat stabil itu maka perlu energi yang besar untuk memisahkan hidrogen dan oksigen dalam air.

Cara kerja nikuba kurang lebih seperti ini

Air > dielektrolisis > jadi hidrogen > dibakar > jadi energi gerak

Proses elektrolisis di nikuba ini mengambil energi listrik dari aki. Banyak ahli menduga aki di motor akan tekor karena proses elektolisis ini sangat tidak efisien dan boros energi. 

Loh kan akinya bisa dicas dari mesin motor?

Ingat hukum termodinamika di pelajaran fisika dulu? pernah dengar hukum kekekalan energi?

""energi tidak dapat diciptakan ataupun dimusnahkan. energi hanya dapat diubah bentuknya ke bentuk energi lainnya"" << ini poin penting yak

Dari hukum kekekalan energi tsb coba kita terapkan di nikuba, dan kita asumsikan proses elektrolisisnya efisien 100% (yang sebenernya mustahil juga)

Aki = 100 energi listrik > proses elektrolisis oleh nikuba > 100 energi listrik berubah menjadi 100 energi hidrogen > dibakar oleh mesin > 70 energi panas 30 energi gerak > 30 energi gerak dipecah lagi 15 energi gerak untuk roda 15 energi gerak untuk menggerakkan alternator > 15 energi gerak diubah menjadi 15 energi listrik untuk aki.

Aki yang semulanya punya 100 energi listrik di akhir siklus hanya mendapat suplai 15 energi listrik dari alternator, di sini lah banyak yang skeptis bahwa seharusnya aki motor tekor karena disedot terus listriknya.

Jadi banyak yang berasumsi nikuba ini hanyalah penghemat bensin saja bukan menggantikan bensinnya. Karena kalau pure tanpa bensin sama sekali 100% akan tekor.

Kalaupun ternyata benar nikuba tidak perlu bensin, Bapak Aryanto Misel ini saya jamin sudah dapat hadiah nobel karena sudah mematahkan hukum kekekalan energi, seisi dunia sudah pasti heboh. Semua negara uda berlomba2 buat dapetin teknologinya, apalagi negara2 yang haus banget sama energi kayak amerika. mereka gak bakal bergantung lagi sama minyak2 di timur tengah

Semoga tulisan panjang ini nggak bikin mumet ya wkwk, sudah sebisa mungkin saya jelasin seawam mungkin✌",positif
"Kalo NIKUBA di terapkan dan dipasarkan di indonesia. Pertamina akan terancam, bgtu jg kelistrikan. Makanya susah di dampingi dn di dukukung oleh pihak2 pemerintah.",positif
Yaampun pembodohan publik bahkan dari media yg ditonton jutaan orang. Bahkan di Italy ga ada berita ttg Nikuba ini 😂😂😂😂😂😂😂😂😂😂😂😂😂,positif
"Pertanyaannya sih simple, kenapa kita tdk mengembangkan nikuba ketimbang wara Wiri ngeributin motor elektrik?",netral
Nikuba lebih berharga di negara lain.karna di negara sendiri takut perusahaan bumn tersaingi bisnisnya.jadi segala cara di gunakan.,positif
"lanjutkan pa ,Nikuba jos gandos,,,,,",netral
Yang membeli NIKUBA bukan pemerintah ITALI. tapi otomotif Itali. jadi jangan menyalahkan pemerintah Indonesia. Karena Indonesia tidak ada otomotif buatan asli Indonesia. jadi jangan nyinyir tentang pemerintah Indonesia..,positif
"😂😂 maunya di bodohin ni orang,nikuba cium aja bau nya gas yang keluar dari alat ini nanti akan tau alat palsu ini, jerman aja masih butuh proses panjang untuk merubah air jadi hidrogen,.
 ini alatnya cm seringkas sekecil itu sdh buat hidrogen siap pakai .
Beberapa kali banyak orang mencoba alat ini tapi pihak pak aryanto muter muter aja ngeles saja",negatif
