,Steming,Label
72,indonesia nikuba temu bagus teknologi indonesia teknologi terap nikuba industri otomotif sumber energi temu,positif
73,nikuba goreng jelang milu,netral
74,preett nikuba hoax,netral
75,salah indonesia tarik teknologi nikuba mari pikir jernih nitizen paham kerja nikuba bacot sok nasionalis paham kerja komen,positif
76,takut bangkrut teknologi nikuba,negatif
77,upin ipin skarang nikuba harga negara ngapain brin hadir hahahahaahah,positif
78,harus brin dukung ragu penemuannikuba teknologi lompat bagusbukan jatuh,positif
79,temu hoax pangdam tambah minta produk dari nikuba produk uji unit kendara kodam siliwangi denger pangdam tambah unit masuk akal orang itali buang dtang kesini repot undang mil bangsa bodoh bangsa brin teknologi ambil unit motor pakai kodam siliwangi bukti dokumentasi masyarakat awam plonga plongo kek orang linglung ngapain temu indonesia dlu efisien nikuba harap arianto sempurna,positif
80,air bbm mustahil perintah bertanggungjawab klarifikasi korban tipu nikuba,negatif
81,brin bukti ilmiah brin badan riset inovasi nasional brin inovasi nikuba bukti ilmiah,positif
82,teknologi gituan han nyata work usaha antre tidak ferrari alatu lamborghini misel deh toyota kawan kawan tidak libat perintah usaha nikuba contoh pt joko energi coba search tidak percaya metro bodohin masyarakat deh,positif
83,sedih banget media nge goreng ilmu tahu nyari animo marah rakyat perintah inget perintah indonesia bodoh blue energy konsep persis nikuba hasil media rakyat indonesia minim literasi tinggal baca hukum kekal energi energi muncul tiada output energi input juta persen mesin pakai bahan bakar air elektrolisis hasil hidrogen mesti repot repot ubah air hidrogen bahan kaya hidrogen halu kayak emang kesel perintah indonesia bobrok emang perintah bobrok bohong dosa dear surya paloh politik emang manis jual tahu bahan politik,negatif
84,kolaborasi nikuba motor listrik,netral
85,kendara listrik temu nikuba indonesia misel rangkul perintah indonesia rangkul negara,positif
86,gasss tv kasih kendor naikin nama nikuba brin presiden jokowi kena prank temu nikuba hujat deh netizen rakyat indonesia raya terima kasih angkat berita latih bangsa overproud mudah bodoh media,negatif
87,indonesia bwrgantung sumber jual bbm pertamina sumber dana negarajika air ganti bbmnegara indonesia rugi triliunanjuga royalti jual bbm perintah uang kantongbayangkan rugi perintah air bahan bakar bbm rasa cemas bbm guna tentang habis idea nikuba sumber ekonomi indonesia besar gantung jual ekspor bbm tempat,negatif
88,bos bos tambang minyak takut bangkrut bahan bakar minyak tidak laku nikuba,negatif
89,wkwk asa model nikuba gin mah mana beneran undang ferrari ducati dll,positif
90,jujur gua duit gua belikontrak nikuba mending bubar lembaga lembaga tidak sumbangsi masyarakat,positif
91,temu super nikuba pakariantoharusna negara turun kembang sampe negara laen mematenkanluar air ubah hidrogenair ganti bahan bakar,positif
92,cumak mafia migas nolak nikuba perintah nolak,negatif
93,perintah harga tni harga karya ank bangsa dngn panggilny nikuba mil orang memanffatknnylucu dngn rezim in,positif
94,rusia ketar tir menghalangin suap nikuba lolos eropa akibat minyak rusia blokir akibat perang ukraina vs rusia,negatif
95,nikola tesla nisa bangun tower listrik gratis hancur kapital untung produksi massal untung kapital orang brin loby gin inti nikuba minat alas ilmiah,negatif
96,knapa brin jawabanya nikuba kembngkan indonesia orang pakai nikuba pertmbngan minyak bumi aka sedang orang korupsi minyak rugi inti untung jangka kantong nikuba kembngkan maksudny perintah indonesia berkembng cuman kriminal korupsi cman,negatif
97,nikuba pakai tni dibbrp motor dana menhamkam triliyun nikuba milyard beli rakyat tahan rakyat,positif
98,rugi pertamina nikuba terima,negatif
99,masalah brin remeh karya anak bangsa campur urus nikuba,negatif
100,pas temu nikuba negeri orang acuh tidak acuh temu orang langsung ajak meeting luar gilir orang ajak temu negara orang nyempil eropa seolaholah aku tahu banget pingin numpang nama temu hasil,positif
101,anggota tni tolol percaya nikuba baca google joko suprapto tipu presiden sby mei vonis,negatif
102,semu percaya nikuba tolol tremasuk oknum tni,negatif
103,indonesia orang pintar teliti nikuba jdi paten,positif
104,eropa kembang nikuba mobil motor jual indonesia ngasih ajar orang indo btapa harga temu,positif
105,sayang nitizen indo tolol percaya tipu nama nikuba,negatif
106,prinsip kerja nikuba hho ribu bahas youtube air nikuba tara liter bensin biaya energi rp tipu,positif
107,nikuba tipu itali tertawa joko suprapto tipu presiden sby mei joko vonis tipu sedang ums,negatif
108,moga temu nikuba sehat umurbiasanya adh kembang negerigk kemuadian exsport indonesiapdhl dari indonesia,positif
109,simpel nikuba pecah hidrogen oksigen air ho energi listrik proses elektrolisis hidrogen hasil elektrolisis bahan bakar simpel debat ho air salah senyawa stabil alam semesta reaktif air bakar saking stabil sifat stabil energi pisah hidrogen oksigen air kerja nikuba air elektrolisis hidrogen bakar energi gerak proses elektrolisis nikuba ambil energi listrik aki ahli duga aki motor tekor proses elektolisis efisien boros energi aki cas mesin motor hukum termodinamika ajar fisika dengar hukum kekal energi energi cipta musnah energi ubah bentuk bentuk energi poin yak hukum kekal energi coba terap nikuba asumsi proses elektrolisis efisien sebenernya mustahil aki energi listrik proses elektrolisis nikuba energi listrik ubah energi hidrogen bakar mesin energi panas energi gerak energi gerak pecah energi gerak roda energi gerak gerak alternator energi gerak ubah energi listrik aki aki mula energi listrik siklus suplai energi listrik alternator skeptis aki motor tekor sedot listrik asumsi nikuba hemat bensin ganti bensin pure bensin tekor nikuba bensin aryanto misel jamin hadiah nobel patah hukum kekal energi isi dunia heboh negara lomba dapetin teknologi negara haus banget energi amerika gantung minyak timur moga tulis tidak mumet wkwk bisa jelasin awam,positif
110,nikuba terap pasar indonesia pertamina ancam jg listrik susah damping dukukung perintah,positif
111,yaampun bodoh publik media tonton juta orang italy berita nikuba,positif
112,tanya simple kembang nikuba ketimbang wara wiri ngeributin motor elektrik,netral
113,nikuba harga negara lainkarna negara takut usaha bumn saing bisnisnyajadi,positif
114,lanjut apa nikuba jos gandos,netral
115,beli nikuba perintah itali otomotif itali salah perintah indonesia indonesia otomotif buat asli indonesia nyinyir perintah indonesia,positif
116,mau bodohin ni orangnikuba cium bau gas alat alat palsu jerman butuh proses ubah air hidrogen alat cm ringkas hidrogen pakai kali orang coba alat aryanto muter muter ngeles,negatif
117,mudeng sistem nikubanya gx aplikasi emang ganti bbm jg gx energi pisah banding gx nuklir ganti bbm tah orang indo rame gax mikir batu ponari tidak celupin inti baik aku,positif
118,temu nikuba repot repot beli negeri jual beli selesai beli teknologi sempurna berita ruwet,netral
119,tunggu apresiasi hujat sederhana sistem mekanisme nikuba kelas italia paham,negatif
120,teknologi sempurnakanbaru indonesia kpd negara kembang pasar nikuba indonesiaindonesiakan doyan impordan perintah salah skil sdm ambil negara,positif
121,harga perintah takut warga indonesia nikuba bahan bakar minyak salah hasil anggar negara besar,positif
122,pertamina ancur nikuba sah indonesia mafia enak bisnis minyak makan pom bensin kukut,positif
123,seriusin nikuba alat politik esemka mobil nasional order,positif
124,gilir panggil orang nimbrung skeptis nikuba,netral
125,malu berita nikuba diviralkan dieropa japan pakai teknologi bas hydrogen toyota mirai inggris stasiun isi bahan bakar hudrogen mobil,negatif
126,temu tiru tabung madam api singkong peneleitian bocah sma alat nikuba prinsip generator hidrogen fakta bahan bakar sempurna bakar konsumsi bbm hemat prototype nikuba generator hidrogen plagiat prorotype generator hidrogen joko energy chanel,positif
127,nikuba efisien tekor jadi energi,negatif
128,selamat dunia kena prank nikuba,positif
129,tunggu usaha otomotif eropa lirik nikuba lanjut tahap lirik,netral
130,canggih teknologi nikuba murah lamborghini ferrari politik dunia usaha hambat berat indonesia maju,positif
131,nikuba teknologi manfaat manusia,positif
132,nikuba joko energi,positif
133,bagus brin aj beli teknologi nikuba harga bandrol ariyanto miliar ariyanto kecewa brin aj terus nikuba kembang jk brin baik citra kepada masyarakat indonesia,positif
134,monopoly nikuba sukses sumber daya ancam,positif
135,nikuba orang indonesia jual itali kembang negara itali lambonikuba supercar beli rafiahmad adre taulani kawan kendara spt depan cina jepang korea amerika elon musk ikut kendara nikuba impor indonesia alur perintah tindak anak bangsa,positif
136,tidak brin unit nikuba bedah isi kerja tentara pakai kesan misteri gelap,positif
137,indonesia banyak cukong temu teknologi mals kembang negara habibi jermanlah milik kariyanya habibiparah parah sekarqng nikuba kembang indonesia makmur sedang andal bahan bakar minyak bensin solar,negatif
138,indonesia bahas nikuba tekhnologi dll byorka nangkap dah gas negeri insyaallah harga,positif
139,nikuba aku kembang indonesia usaha spbu indonesia tutup rugi,netral
140,orang sains dah jelasin tipu ama nikuba bahan bakar kendara alat hho noh joko energi aryanto niru joko apar dari singkong temu dari rompi anti peluru anak sma nemuin dari,negatif
141,nikuba omong kosong main anak mudah ski percaya mo bukti in tangki motor lepas jamin motor hidup alat model sperti,positif
142,hina ngobronya kaya saintis ragu nyala jalan mesin kendara ribet cari cuan orang deket jual air nikuba cari cuahn beres buming perintah publik rasa,positif
143,nikuba pasar bensin dll laku,netral
144,percaya nikuba temu orang indonesiasemangat mixel,positif
145,pertamina ketar tir nikuba,netral
146,tahan temu nikuba pintar cerdas,positif
147,nikuba pas era cocok kembang padu motor mobil listrik milik kapasitas listrik kendara motor konvensional sumber listrik kendara listrik sumber baterai rem mekanik dll proses hidrogen air butuh butuh listrik besarkurang maksimal kendara konvesional milik aki acu penuh butuh listrik tuju hidrogen air bahan bakar kendara,positif
148,makar temu nikuba tu temu ilmu ahli indonesia ajar pecah mungkinmustahil jawab kecuali barang institusi riset teknologi indonesia unsur mafia maju indonesia tu institusi institusi angkat tanganminim prestari laku audit,positif
149,temu bentuk mentah olah orang negeri beli nikuba telan mentahmentah olah optimal otak koruptor emang malas mikir mikir untung kaya hajar heran puluh alm bj habibie parah,positif
150,hahahasuu nikuba misel mblgedess cok,netral
151,orang pintar indonesia dbuang ayoo ferrari cepet beli lisensi nikuba politisasi jabat wakanda,positif
152,copot jabat kemarin aku nicuba teliti,netral
153,nikuba klaim negara,positif
154,hasil ledak elektrolisis butuh energi listrik pisah hidrogen ledak hidrogen anti energi listrik buat simpul jalan nikuba hidup montor membutukan arus listrik hasil ledak berulangkali jala montor boros listrik gx efisien,positif
155,aneh ntar mobil pakai teknologi nikuba indo sibuk beli mahaldari negeripadahal nikuba indo eh indo beli mahal mahal negeri kebiasaa,negatif
156,hati resep nikuba nyabisnis asing licik,positif
157,nikuba kembang indonesia dikemanain pertamina kendara listrik aya wae mah cuan,positif
158,liat negri maju sdm rendah perintah susah ajak maju teknologi nikuba kadang alas terima sdm rendah,negatif
159,dengar cerita aryanto calo brin italy nikuba tanah air calo,netral
160,daftar cipta nikuba royalti temu,netral
161,konoha pakai nikuba minyak laku alhasil usaha minyak belakang perintah cuan sedang jabat konoha dapet cuan deh,positif
162,orang sulit percaya klain nikuba tetes bensin puluh kilometer klaim ujung omong doang ngaku roket nasa bangkit listrik pohon emang kembang indonesia indonesia sanggup dana drone goib suruh,positif
163,tenang ntar indonesia beli nikuba itali kesan beli barang kualitas alas teknologi aman evisien lucu nikuba sukses negara orang ntar beli dana ambil uang rakyat,positif
164,mari tunggu paten nikubajika paten brin salahapa butuh bensin tidakato fuel saver,netral
165,tipu liput coba bukti statement beli ferarri muak modus ginian blue energi nikuba,negatif
166,jgnkn nikuba cm seuprit doankpesawat predisen bj habibie sj aku negara saran klian pinter kl karya aku negara buat sistem korupsi struktur susah lacak aku support lngsng,positif
167,nikuba masuk akal njir smua ahli ngomong efisien metro jelekin prmerintah,negatif
168,cerita nikuba riset rakyat anggap ancam posisi cuan monopoli dagang bbm industritechnologi apa negri konoha basmi tangan birokrat,negatif
169,jg hilang tu nikuba lupa wktu sby kepincut ama produk model gin kecewa cm pepes kosong klaim cirebonsmg pp liter air mampir dipom kali bahas,negatif
170,nikuba dah unggul toyota dah luncur bahan bakar air cell,negatif
171,sebenernya allah swt sayang rakyat indonesia makan cetus internet hak patenya ambil jepang nikuba muncul perintah dzolim jual hasil bumi negeri harga mahal maju harga dikembangkann negara eropa negara minyak italia usaha ganti minyak ramah lingkung teliti lanjutannyaa,positif
172,ferrari cs dukung suruh bayar milyar kasihan temu nikuba anggap tukang service ferrari cs semangat inovasi,positif
173,perintah takut mafia minyak nikuba aku pasar peetamina rugi pom tutup,negatif
174,kkn pelihara negara konoha model nikuba temu anak negeri,netral
175,coba pakai nikuba motor lepas tangki motor nyajgn pakai bbm,netral
176,nikuba tolak ri mafia rezim bisnis untung rezim jaman pikir ber bisnis negara untung makan perut serta keluarga,negatif
177,nikuba indonesia dukung lai mahal harga jadi usaha peeusahaan adopsi,positif
178,nikuba omong kosong,netral
179,nikuba indonesia maju pertamina laku koruptor hasil kawan,positif
180,banyak ngehayal orang bicara dasar fisika konversi energi air ho pecah hidrogen oksigen nama elektrolisis butuh energi teknologi nikuba air ho pecah energi listrik hasil hidrogen jadi bahan bakar hasil energi gera sepeda motor segi fisika termodinamika konversi energi efisien energi listrik pecah senyawa air hidrogen hidrogen bakar energi gerak motor efisien langsung energi listrik utntuk gera motor kembang motor listrik teknologi nikuba kembang efisien hukum termodinamika konversi energi lihat masyarakat indonesia paham buat narasi air bahan bakar mebutuhkan energi ubah air hidrogen mafia maju akademisi ilmuwan tolak temu dll orang tolol,positif
181,dukung mu paktest motor tangki bbm persen pakai nikuba,positif
182,nikuba trussblum aryanto viral joko energycoba metro tv liput joko energy kaget desain hho generator sma kyk kepunyaanya nikuba pdhl duluan joko energy,positif
183,nikuba dokter awan korban orng pintar licik,positif
184,nikuba keren brin cilukba,positif
185,nikuba nasib mobil listrik beli malaysiapayah dukung perintah ken uang kuropsi sedih,negatif
186,lahhhberita tarik sm berita kemarin males baca banding teliti nikuba valid,positif
187,jago automotif toyota bmw detroit kalah nikuba temu hydrogen bahan bakar automotif,positif
188,kendara listrik baterai nikelgmna nikuba gatot,negatif
189,kecewa pas brin itali brin alat shg nikuba ngejual taknologinya kpd orang itali mending uji kompeten hasil,positif
190,apa ajar kompensasi hak paten apa hak paten uang nikuba,netral
191,metro tv semenjak prahara nasdem berita serang pemerintahsoal nikuba apresiasi perintah sepenuh perintah fokus energi alternatif program biosolar program jangka uji janji,negatif
192,dapat pribadi nikuba jalan mulus efektive teknologi canggih media gembar gembor sebar berita dwi batang kendondong vaksin merah putih bibit padi tangan robot dllpada bukti,positif
193,om hak paten nikuba made indonesia jdi nikuba pakai mana kompensasi umur hidup jadi sperti harley davidson ulang om harley company gede abis lenyap higga bangkit sedang nol cuman gara dlu produksi pakai karbu brand,positif
194,tolong miliar trllu murah minat otomotif italiaklo nikuba jalan brand negara miliar bnget paseandainya bpk deal dngn miliar masuk syarat beli prodak otomotif memake nikuba kompensasi bapa,positif
195,abai brinjangan kerja samasebab tidak percaya pernemuan nikuba,negatif
196,kerja nikuba air pecah hidrogen oksigen pakai listrik aki hidrogen masuk bakar motor jalan kerja aki berat mecah air bakar,negatif
197,jual tahan dukung negeri cemooh orang brin moga jaya moga orang brin kesana hambat caplok nama nikuba,positif
198,nikuba efisien,positif
199,mudah tipu media percaya nikuba efisien dikit dikit indonesia maju bacot wkwk netizen percaya berita tolol kyk gin masuk akal,positif
200,brin ngintil itali respect hasil temu beliau juang nikuba kendara roda tni hasil berangkat itali disupport pangdam siliwangi jadi spt nyanyi indo harga agt negeri seniman jabat lokal latah lomba citra,positif
201,tesla batre terkenalnyasepertinya nikuba kembang ni saing sanding mobil smea sepeda motorbisa produk jempol indonesialagian harga bilang murah banding uang korup untung raup nikuba kembang produk pasar masal,positif
202,bukti cari untung teknologi anak bangsa harga untung semangat doa sukses negara harga,positif
203,nikuba hayalan gaya temu tidak bukti orang tolol percaya air ubah minyak bbm kendaran hahaha hahahaha halu tingkat dewa,negatif
204,pro rakyat rakyat wi njar brin limpah dana apbn kembang riset alat politiksabar anies kembang teliti nikuba promosi dunia internasional sekjen pbb menit langsung tuju konsep climate change anies,positif
205,nikuba open source klaim cipta ganti bbm bbm efisien kelas metro cnn jebak waste informationhadeh,positif
206,brin dah blacklist ama temu nikuba brin isi politikus riset cmn urus teknologi politik,positif
207,nyinyir ama nikuba kangen,negatif
208,moga misel lindung tuhan temu nikuba apresisiasi ri negara pengexport oil mereka khawatir cuan export minyak nikel lithium mobil bahan bakar fosil gas batere listrik tinggal alih bahan bakar air,netral
209,fakta aryanto kmrn undang italia negosiasi alat nikuba aryanto terbang italia bantu baik alat nikuba romania rusak lebih cma dar drama patut nanti episode,negatif
210,omong kosong undang presentasi viral indonesia aku klaim andal nikuba viralnya nikuba tampak betapa bodoh bangsa tekhnologi usang bukti efektif energi harap,negatif
211,rayu brin cemooh nikuba tolak jabnrin rayu,negatif
212,gila negri apresiasi tni semangat moga karya bangga indonesia,positif
213,beli ferari tarik beli formula nikuba teknologi ujug ujug brin dateng klaim karya anak bangsa jual brinyg takut regulasi fulus sampe mampus,positif
214,nikuba proyeksi tikus tikus negara lapar iyaa,negatif
215,mobil listrik karya kupukupu malam jogja jga nasib sma nikuba,positif
216,berani beratuh harta nikuba hoax klaimnyasilahkan inbok berani,positif
217,gegara nikuba gagal paham paham,negatif
218,tinggal tunggu kabar italy kendara bahan bakar air temu nikuba frame nikung kipas hasil,netral
219,stanley meyer water fuel cell krisis minyak amrik paten nikuba masaaaa,negatif
220,media besar searching seluk beluk nikuba nama joko energy,positif
221,anies baswedan lanjut nikuba nasdem alis ubah dukung metro tv,positif
222,negri tidak harga hasil karya anak bangsa dukung usah negri pakai nikuba,positif
223,jelasjelas kodam iii siliwangi meng uji jalan nikuba tempuh cirebon semarang pikir kodam iii membohingi publik jatuh marwah institusi negeri sambut apresiasi berkompwten go international aryanto dukung,positif
224,nikuba kembang tumbang mafia migas,negatif
225,moga negara italia maju kembang temu nikuba,positif
226,nikuba hoax,negatif
227,presiden teliti kembang go internasional kenteng magic ajak motor mobil nikuba export indonesia jaya orang,positif
228,nikuba rugi negara tangkap temu,negatif
229,brin tidak aku nikuba ancam bisnis oligarki,negatif
230,nikuba indonesia mafia negara mendpatkan uang jual beli minyak mafia negara lawan,positif
231,sayang nikuba beli asing rakyat butuh kurang beban rakyat mafia minyak negri takut bangkrut,negatif
232,mantab nikuba urus brin jual modal riset,positif
233,dalam hasil uang rawan resiko moga nikuba muas temu bangga bangsa indonesia,positif
234,nikuba tolak ri ri ilmu dana tenaga air ferari emang canggih master mobil dana update apasaja nikuba temu orang indonesia terima negara update ilmu dana,positif
235,wkkkkkkkkkk gin percaya nikuba,netral
236,hmmm sakit gengsi ahli brin tampar temu micel kalah start so coba jegal upaya dukung emak hehehhehe teori temu bahaya langsung bisnis otomotif bahan bakar minyak kembang mobil listrik indonesia pangsa pasar potensial dunia otomotif usaha rugi air gerak otomotif so coba tahan kembang nikuba ramai micel hati brin sdg laku operasi senyap dukung perintah hehehehhe maju karya inovatif,positif
237,brin mil uang suap boss ferari indo tetep nolak nikuba teknologi nikuba otomatis paksa jual boss ferari orang orang brin kaya uang suap italia maju nikuba rakyat indo miskin kurang kembang teknologi,negatif
238,harga dari hongkong orang cipta aj harga sampa italy suruh buka formula harga padan politisasi nikuba nasdem ikut viral dukung temu,positif
239,lanjut paknikubanya moga manfaat hidup dijagad rayaaamiinlwkbgisulteng,positif
240,yo tehnologi kembang perintah modern tidak modern banding nikuba tehnologinya mobil esemka sangatcanggihnegara bom tanding,positif
241,esemka pakai nikuba negara rugi melulu gara gara minyak tekan angka keluar minyak negara,negatif
242,nikuba taik babiotak goblok sok pinterngrakit smk gakbecusdasar kacung cari mukabisa onde onde,negatif
243,indonesia urus akhirat politik reality show artis murah nikuba sulit bangsa indonesia,positif
244,sayang buat nikuba transparan temu pakar teknologi bukti bukti hasil monggo buat hak paten hak kemenkumham,negatif
